day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456891	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456891	236	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	50	4	[]	0	0
2	123456891	235	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	50	5	[]	0	1
3	123456891	231	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	50	7	[]	0	3
4	123456891	226	9	4	1	0	0	0	0	0	0	0	0	0	0	0	0	12	4	0	0	0	0	0	0	0	50	8	[]	0	4
5	123456891	217	16	5	2	0	0	0	0	0	0	0	0	0	0	0	0	12	7	0	0	0	0	0	0	0	50	13	[]	0	4
6	123456891	216	13	8	3	0	0	0	0	0	0	0	0	0	0	0	0	12	8	0	0	0	0	0	0	0	50	14	[]	0	5
7	123456891	212	14	7	7	0	0	0	0	0	0	0	0	0	0	0	0	12	9	0	0	0	0	0	0	0	50	18	[]	0	4
8	123456891	203	20	9	8	0	0	0	0	0	0	0	0	0	0	0	0	12	10	0	0	0	0	0	0	0	50	20	[]	0	4
9	123456891	192	25	13	10	0	0	0	0	0	0	0	0	0	0	0	0	12	10	0	0	0	0	0	0	0	50	23	[]	0	6
10	123456891	172	28	12	8	0	0	0	0	0	0	0	0	8	3	6	3	12	11	1	0	0	1	0	0	0	50	24	[3B]	1	7
11	123456891	160	31	19	10	0	0	0	0	0	0	0	0	8	2	5	5	23	11	1	0	0	1	0	0	0	50	26	[3B]	1	8
12	123456891	143	39	26	12	0	0	0	0	0	0	0	0	8	1	4	7	23	12	1	0	0	1	0	0	0	50	27	[3B]	1	9
13	123456891	141	30	33	16	0	0	0	0	0	0	0	0	8	1	4	7	23	14	1	0	0	1	0	0	0	50	29	[3B]	1	9
14	123456891	113	21	28	18	0	0	0	0	0	0	0	0	34	2	12	12	23	14	3	0	0	3	0	0	0	50	31	[3B 2A 3D]	3	10
