day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated	num-immunized	num-immunized-in-quarantine	num-immunized-in-quarantine-external-1	num-immunized-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456901	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	90	0	0	0	0	[]	0	0
1	123456901	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	146	90	0	0	0	0	[]	0	0
2	123456901	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	146	90	0	0	0	0	[]	0	0
3	123456901	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	146	90	0	0	0	0	[]	0	0
4	123456901	199	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	146	90	0	0	0	1	[]	0	0
5	123456901	199	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	146	90	0	0	0	1	[]	0	0
6	123456901	199	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	146	90	0	0	0	1	[]	0	0
7	123456901	199	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	146	90	0	0	0	1	[]	0	0
8	123456901	199	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	146	90	0	0	0	1	[]	0	0
9	123456901	199	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	146	90	0	0	0	1	[]	0	0
10	123456901	198	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	146	90	0	0	0	2	[]	0	0
11	123456901	185	13	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	146	90	0	0	0	2	[]	0	2
12	123456901	171	24	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	146	90	0	0	0	2	[]	0	2
13	123456901	171	16	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	146	90	0	0	0	2	[]	0	2
14	123456901	171	9	18	2	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	1	0	146	90	0	0	0	2	[]	0	3
