day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456965	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456965	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	50	0	[]	0	0
2	123456965	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	4	0	0	0	0	0	0	0	50	0	[]	0	0
3	123456965	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	4	0	0	0	0	0	0	0	50	0	[]	0	0
4	123456965	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	4	0	0	0	0	0	0	0	50	0	[]	0	0
5	123456965	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	5	0	0	0	0	0	0	0	50	0	[]	0	0
6	123456965	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	5	0	0	0	0	0	0	0	50	0	[]	0	0
7	123456965	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	5	0	0	0	0	0	0	0	50	1	[]	0	0
8	123456965	239	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	24	6	0	0	0	0	0	0	0	50	1	[]	0	1
9	123456965	236	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	48	7	0	0	0	0	0	0	0	50	1	[]	0	1
10	123456965	232	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	48	10	0	0	0	0	0	0	0	50	1	[]	0	1
11	123456965	231	5	3	1	0	0	0	0	0	0	0	0	0	0	0	0	48	11	0	0	0	0	0	0	0	50	2	[]	0	1
12	123456965	228	6	3	3	0	0	0	0	0	0	0	0	0	0	0	0	48	11	0	0	0	0	0	0	0	50	3	[]	0	2
13	123456965	228	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	48	11	0	0	0	0	0	0	0	50	3	[]	0	3
14	123456965	228	3	2	7	0	0	0	0	0	0	0	0	0	0	0	0	48	11	0	0	0	0	0	0	0	50	3	[]	0	1
15	123456965	227	4	2	7	0	0	0	0	0	0	0	0	0	0	0	0	48	12	0	0	0	0	0	0	0	50	3	[]	0	1
16	123456965	217	1	0	2	10	3	2	5	0	0	0	0	0	0	0	0	72	13	0	1	0	0	0	0	0	50	3	[3B]	1	1
17	123456965	217	1	0	2	10	3	2	5	0	0	0	0	0	0	0	0	72	16	0	1	0	0	0	0	0	50	3	[3B]	1	1
18	123456965	217	1	0	2	10	2	3	5	0	0	0	0	0	0	0	0	72	16	0	1	0	0	0	0	0	50	3	[3B]	1	1
19	123456965	217	1	0	2	10	0	5	5	0	0	0	0	0	0	0	0	72	18	0	1	0	0	0	0	0	50	3	[3B]	1	1
20	123456965	217	1	0	2	10	0	4	6	0	0	0	0	0	0	0	0	72	18	0	1	0	0	0	0	0	50	3	[3B]	1	1
