day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-vaccinated-susceptible-in-quarantine	num-vaccinated-exposed-in-quarantine	num-vaccinated-infected-in-quarantine	num-vaccinated-removed-in-quarantine	num-vaccinated-susceptible-in-quarantine-external-1	num-vaccinated-exposed-in-quarantine-external-1	num-vaccinated-infected-in-quarantine-external-1	num-vaccinated-removed-in-quarantine-external-1	num-vaccinated-susceptible-in-quarantine-external-2	num-vaccinated-exposed-in-quarantine-external-2	num-vaccinated-infected-in-quarantine-external-2	num-vaccinated-removed-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457398	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
1	123457398	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
2	123457398	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	0
3	123457398	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	2	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	0
4	123457398	238	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	2	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	0
5	123457398	238	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	3	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	0
6	123457398	237	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	3	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	3	[]	0	1
7	123457398	237	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	60	3	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	3	[]	0	2
8	123457398	235	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	60	3	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	3	[]	0	2
9	123457398	233	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	60	3	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	3	[]	0	2
10	123457398	232	4	1	1	0	0	2	0	0	0	0	0	0	0	0	0	135	4	0	2	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	3	[]	0	2
11	123457398	232	3	1	2	0	0	2	0	0	0	0	0	0	0	0	0	135	5	0	2	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	3	[]	0	1
12	123457398	228	6	2	2	0	0	2	0	0	0	0	0	0	0	0	0	135	5	0	2	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	3	[]	0	2
13	123457398	227	4	5	2	0	0	2	0	0	0	0	0	0	0	0	0	135	5	0	2	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	4	[]	0	2
14	123457398	227	4	4	3	0	0	2	0	0	0	0	0	0	0	0	0	135	6	0	2	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	4	[]	0	2
15	123457398	209	4	3	4	16	0	2	2	0	0	0	0	0	0	0	0	153	7	0	3	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	4	[1A]	1	2
16	123457398	207	5	4	4	16	0	2	2	0	0	0	0	0	0	0	0	153	10	0	3	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	4	[1A]	1	2
17	123457398	199	0	1	0	24	3	6	7	0	0	0	0	0	0	0	0	223	12	0	7	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	4	[1A 3A]	2	3
18	123457398	199	0	1	0	24	3	6	7	0	0	0	0	0	0	0	0	223	12	0	7	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	4	[1A 3A]	2	3
19	123457398	197	2	1	0	24	3	6	7	0	0	0	0	0	0	0	0	223	12	0	7	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	4	[1A 3A]	2	3
20	123457398	197	1	2	0	24	3	6	7	0	0	0	0	0	0	0	0	223	12	0	7	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	4	[1A 3A]	2	3
21	123457398	197	1	2	0	24	3	5	8	0	0	0	0	0	0	0	0	223	12	0	7	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	4	[1A 3A]	2	3
