day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456967	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456967	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	0	[]	0	0
2	123456967	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	2	0	0	0	0	0	0	0	50	0	[]	0	0
3	123456967	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	3	0	0	0	0	0	0	0	50	0	[]	0	0
4	123456967	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	4	0	0	0	0	0	0	0	50	0	[]	0	0
5	123456967	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	4	0	0	0	0	0	0	0	50	0	[]	0	0
6	123456967	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	4	0	0	0	0	0	0	0	50	0	[]	0	0
7	123456967	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	5	0	0	0	0	0	0	0	50	0	[]	0	0
8	123456967	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	7	0	0	0	0	0	0	0	50	0	[]	0	0
9	123456967	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	9	0	0	0	0	0	0	0	50	0	[]	0	0
10	123456967	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	9	0	0	0	0	0	0	0	50	0	[]	0	0
11	123456967	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	10	0	0	0	0	0	0	0	50	0	[]	0	0
12	123456967	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	10	0	0	0	0	0	0	0	50	0	[]	0	0
13	123456967	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	10	0	0	0	0	0	0	0	50	0	[]	0	0
14	123456967	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	10	0	0	0	0	0	0	0	50	1	[]	0	0
15	123456967	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	10	0	0	0	0	0	0	0	50	1	[]	0	0
16	123456967	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	360	11	0	0	0	0	0	0	0	50	1	[]	0	0
17	123456967	236	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	360	11	0	0	0	0	0	0	0	50	1	[]	0	1
18	123456967	236	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	360	12	0	0	0	0	0	0	0	50	1	[]	0	1
19	123456967	235	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	360	13	0	0	0	0	0	0	0	50	1	[]	0	1
20	123456967	235	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	360	13	0	0	0	0	0	0	0	50	1	[]	0	1
21	123456967	235	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	360	13	0	0	0	0	0	0	0	50	1	[]	0	1
22	123456967	230	5	4	1	0	0	0	0	0	0	0	0	0	0	0	0	360	13	0	0	0	0	0	0	0	50	1	[]	0	1
23	123456967	220	0	0	0	10	4	5	1	0	0	0	0	0	0	0	0	480	15	0	2	0	0	0	0	0	50	1	[3C]	1	1
24	123456967	220	0	0	0	10	1	8	1	0	0	0	0	0	0	0	0	480	16	0	2	0	0	0	0	0	50	1	[3C]	1	1
25	123456967	220	0	0	0	10	1	7	2	0	0	0	0	0	0	0	0	480	17	0	2	0	0	0	0	0	50	1	[3C]	1	1
26	123456967	220	0	0	0	10	1	7	2	0	0	0	0	0	0	0	0	480	18	0	2	0	0	0	0	0	50	1	[3C]	1	1
27	123456967	220	0	0	0	10	1	5	4	0	0	0	0	0	0	0	0	480	18	0	2	0	0	0	0	0	50	1	[3C]	1	1
28	123456967	220	0	0	0	10	1	4	5	0	0	0	0	0	0	0	0	480	19	0	2	0	0	0	0	0	50	1	[3C]	1	1
29	123456967	219	1	0	0	10	1	3	6	0	0	0	0	0	0	0	0	480	19	0	2	0	0	0	0	0	50	2	[3C]	1	1
30	123456967	219	1	0	0	10	1	3	6	0	0	0	0	0	0	0	0	590	19	0	2	0	0	0	0	0	50	2	[3C]	1	1
31	123456967	218	1	1	0	10	0	3	7	0	0	0	0	0	0	0	0	590	19	0	2	0	0	0	0	0	50	2	[3C]	1	2
32	123456967	216	3	1	0	10	0	3	7	0	0	0	0	0	0	0	0	590	19	0	2	0	0	0	0	0	50	2	[3C]	1	2
33	123456967	216	3	0	1	10	0	3	7	0	0	0	0	0	0	0	0	590	22	0	2	0	0	0	0	0	50	2	[3C]	1	1
34	123456967	216	1	2	1	10	0	1	9	0	0	0	0	0	0	0	0	590	23	0	2	0	0	0	0	0	50	2	[3C]	1	2
35	123456967	216	0	3	1	10	0	0	10	0	0	0	0	0	0	0	0	590	23	0	2	0	0	0	0	0	50	2	[3C]	1	1
