day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456809	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456809	239	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	0	[]	0	1
2	123456809	237	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	50	0	[]	0	1
3	123456809	237	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	5	0	0	0	0	0	0	0	50	0	[]	0	1
4	123456809	234	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	12	5	0	0	0	0	0	0	0	50	0	[]	0	1
5	123456809	229	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	24	6	0	0	0	0	0	0	0	50	0	[]	0	1
6	123456809	218	2	0	0	0	0	0	0	11	3	5	1	0	0	0	0	24	8	0	0	1	0	0	0	0	50	0	[3C]	1	1
7	123456809	218	1	1	0	0	0	0	0	11	1	6	2	0	0	0	0	24	8	0	0	1	0	0	0	0	50	0	[3C]	1	2
8	123456809	215	3	2	0	0	0	0	0	11	0	7	2	0	0	0	0	24	8	0	0	1	0	0	0	0	50	0	[3C]	1	2
9	123456809	212	3	4	1	0	0	0	0	11	0	7	2	0	0	0	0	24	9	0	0	1	0	0	0	0	50	0	[3C]	1	2
10	123456809	200	0	0	0	12	2	4	2	11	0	5	4	0	0	0	0	46	11	0	2	1	0	0	0	0	50	0	[3C 2C]	2	2
11	123456809	200	0	0	0	12	1	4	3	11	0	5	4	0	0	0	0	46	11	0	2	1	0	0	0	0	50	0	[3C 2C]	2	2
12	123456809	200	0	0	0	12	0	5	3	11	0	5	4	0	0	0	0	56	12	0	2	1	0	0	0	0	50	0	[3C 2C]	2	2
13	123456809	200	0	0	0	12	0	3	5	11	0	5	4	0	0	0	0	56	12	0	2	1	0	0	0	0	50	0	[3C 2C]	2	2
14	123456809	200	0	0	0	12	0	2	6	11	0	3	6	0	0	0	0	56	12	0	2	1	0	0	0	0	50	0	[3C 2C]	2	2
15	123456809	200	0	0	0	12	0	2	6	11	0	3	6	0	0	0	0	56	13	0	2	1	0	0	0	0	50	0	[3C 2C]	2	2
16	123456809	200	0	0	0	12	0	2	6	11	0	3	6	0	0	0	0	56	14	0	2	1	0	0	0	0	50	0	[3C 2C]	2	2
17	123456809	200	0	0	0	12	0	2	6	11	0	2	7	0	0	0	0	66	14	0	2	1	0	0	0	0	50	0	[3C 2C]	2	2
18	123456809	200	0	0	0	12	0	2	6	11	0	2	7	0	0	0	0	66	14	0	2	1	0	0	0	0	50	0	[3C 2C]	2	2
19	123456809	200	0	0	0	12	0	2	6	11	0	2	7	0	0	0	0	76	14	0	2	1	0	0	0	0	50	0	[3C 2C]	2	2
20	123456809	211	0	0	9	12	0	2	6	0	0	0	0	0	0	0	0	76	15	0	2	1	0	0	0	0	50	0	[2C]	1	1
21	123456809	211	0	0	9	12	0	0	8	0	0	0	0	0	0	0	0	76	18	0	2	1	0	0	0	0	50	0	[2C]	1	0
22	123456809	211	0	0	9	12	0	0	8	0	0	0	0	0	0	0	0	76	18	0	2	1	0	0	0	0	50	0	[2C]	1	0
