day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456954	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456954	239	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	1
2	123456954	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	0	[]	0	1
3	123456954	238	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	24	2	0	0	0	0	0	0	0	50	0	[]	0	1
4	123456954	234	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	24	2	0	0	0	0	0	0	0	50	0	[]	0	1
5	123456954	234	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	36	4	0	0	0	0	0	0	0	50	0	[]	0	1
6	123456954	234	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	36	5	0	0	0	0	0	0	0	50	0	[]	0	1
7	123456954	234	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	36	6	0	0	0	0	0	0	0	50	0	[]	0	1
8	123456954	233	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	36	6	0	0	0	0	0	0	0	50	0	[]	0	1
9	123456954	233	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	36	6	0	0	0	0	0	0	0	50	0	[]	0	1
10	123456954	229	6	2	3	0	0	0	0	0	0	0	0	0	0	0	0	60	6	0	0	0	0	0	0	0	50	0	[]	0	1
11	123456954	219	1	0	0	0	0	0	0	0	0	0	0	10	2	5	3	60	6	1	0	0	1	0	0	0	50	0	[2B]	1	1
12	123456954	219	1	0	0	0	0	0	0	0	0	0	0	10	2	5	3	71	6	1	0	0	1	0	0	0	50	0	[2B]	1	1
13	123456954	219	1	0	0	0	0	0	0	0	0	0	0	10	0	7	3	71	7	1	0	0	1	0	0	0	50	0	[2B]	1	1
14	123456954	219	0	1	0	0	0	0	0	0	0	0	0	10	0	5	5	71	7	1	0	0	1	0	0	0	50	0	[2B]	1	2
15	123456954	218	1	1	0	0	0	0	0	0	0	0	0	10	0	5	5	71	8	1	0	0	1	0	0	0	50	0	[2B]	1	2
16	123456954	218	1	0	1	0	0	0	0	0	0	0	0	10	0	5	5	71	8	1	0	0	1	0	0	0	50	0	[2B]	1	1
17	123456954	218	1	0	1	0	0	0	0	0	0	0	0	10	0	4	6	82	10	1	0	0	1	0	0	0	50	0	[2B]	1	1
18	123456954	218	1	0	1	0	0	0	0	0	0	0	0	10	0	4	6	82	10	1	0	0	1	0	0	0	50	0	[2B]	1	1
19	123456954	218	1	0	1	0	0	0	0	0	0	0	0	10	0	4	6	93	11	1	0	0	1	0	0	0	50	0	[2B]	1	1
20	123456954	218	1	0	1	0	0	0	0	0	0	0	0	10	0	4	6	93	11	1	0	0	1	0	0	0	50	0	[2B]	1	1
21	123456954	218	1	0	1	0	0	0	0	0	0	0	0	10	0	2	8	93	11	1	0	0	1	0	0	0	50	0	[2B]	1	1
22	123456954	200	0	0	0	0	0	0	0	0	0	0	0	28	0	3	9	93	12	2	0	0	2	0	0	0	50	0	[2B 2C]	2	2
23	123456954	200	0	0	0	0	0	0	0	0	0	0	0	28	0	2	10	93	12	2	0	0	2	0	0	0	50	0	[2B 2C]	2	1
24	123456954	200	0	0	0	0	0	0	0	0	0	0	0	28	0	2	10	103	12	2	0	0	2	0	0	0	50	0	[2B 2C]	2	1
25	123456954	210	0	0	10	0	0	0	0	0	0	0	0	18	0	0	2	103	14	2	0	0	2	0	0	0	50	0	[2C]	1	0
26	123456954	210	0	0	10	0	0	0	0	0	0	0	0	18	0	0	2	114	14	2	0	0	2	0	0	0	50	0	[2C]	1	0
27	123456954	210	0	0	10	0	0	0	0	0	0	0	0	18	0	0	2	114	14	2	0	0	2	0	0	0	50	0	[2C]	1	0
28	123456954	210	0	0	10	0	0	0	0	0	0	0	0	18	0	0	2	114	15	2	0	0	2	0	0	0	50	0	[2C]	1	0
29	123456954	210	0	0	10	0	0	0	0	0	0	0	0	18	0	0	2	114	16	2	0	0	2	0	0	0	50	0	[2C]	1	0
30	123456954	210	0	0	10	0	0	0	0	0	0	0	0	18	0	0	2	114	17	2	0	0	2	0	0	0	50	0	[2C]	1	0
31	123456954	210	0	0	10	0	0	0	0	0	0	0	0	18	0	0	2	136	17	2	0	0	2	0	0	0	50	0	[2C]	1	0
32	123456954	210	0	0	10	0	0	0	0	0	0	0	0	18	0	0	2	136	17	2	0	0	2	0	0	0	50	0	[2C]	1	0
33	123456954	210	0	0	10	0	0	0	0	0	0	0	0	18	0	0	2	147	17	2	0	0	2	0	0	0	50	0	[2C]	1	0
34	123456954	210	0	0	10	0	0	0	0	0	0	0	0	18	0	0	2	147	17	2	0	0	2	0	0	0	50	0	[2C]	1	0
35	123456954	210	0	0	10	0	0	0	0	0	0	0	0	18	0	0	2	147	19	2	0	0	2	0	0	0	50	0	[2C]	1	0
