,day,cumulative_infected,type,type_of_screening_pretty
0,1.0,0.0,Total infected,Without screening
1,2.0,0.7136000000000138,Total infected,Without screening
2,3.0,2.0570999999999913,Total infected,Without screening
3,4.0,4.107100000000031,Total infected,Without screening
4,5.0,7.080100000000016,Total infected,Without screening
5,6.0,10.904900000000026,Total infected,Without screening
6,7.0,14.322399999999988,Total infected,Without screening
7,8.0,17.3904,Total infected,Without screening
8,9.0,22.469400000000007,Total infected,Without screening
9,10.0,29.198099999999982,Total infected,Without screening
10,11.0,37.28030000000001,Total infected,Without screening
11,12.0,46.73060000000001,Total infected,Without screening
12,13.0,57.09820000000002,Total infected,Without screening
13,14.0,64.898,Total infected,Without screening
14,15.0,70.82980000000003,Total infected,Without screening
15,16.0,79.1112,Total infected,Without screening
16,17.0,88.35040000000001,Total infected,Without screening
17,18.0,98.04189999999997,Total infected,Without screening
18,19.0,108.03599999999997,Total infected,Without screening
19,20.0,117.8298,Total infected,Without screening
20,21.0,125.034,Total infected,Without screening
21,22.0,130.3684,Total infected,Without screening
22,23.0,136.2912,Total infected,Without screening
23,24.0,142.3032,Total infected,Without screening
24,25.0,148.03810000000001,Total infected,Without screening
25,26.0,153.59159999999997,Total infected,Without screening
26,27.0,158.59570000000002,Total infected,Without screening
27,28.0,162.3843,Total infected,Without screening
28,29.0,165.033,Total infected,Without screening
29,30.0,168.02800000000002,Total infected,Without screening
30,31.0,170.982,Total infected,Without screening
31,32.0,173.7979,Total infected,Without screening
32,33.0,176.4445,Total infected,Without screening
33,34.0,179.096,Total infected,Without screening
34,35.0,181.0972,Total infected,Without screening
35,1.0,0.0,Total infected,Screening 25%
36,2.0,0.7286000000000001,Total infected,Screening 25%
37,3.0,2.12560000000002,Total infected,Screening 25%
38,4.0,4.25630000000001,Total infected,Screening 25%
39,5.0,7.0552000000000135,Total infected,Screening 25%
40,6.0,11.190899999999942,Total infected,Screening 25%
41,7.0,14.66330000000002,Total infected,Screening 25%
42,8.0,17.55789999999999,Total infected,Screening 25%
43,9.0,22.326700000000017,Total infected,Screening 25%
44,10.0,28.758800000000008,Total infected,Screening 25%
45,11.0,36.44720000000001,Total infected,Screening 25%
46,12.0,44.64829999999998,Total infected,Screening 25%
47,13.0,53.4974,Total infected,Screening 25%
48,14.0,60.4974,Total infected,Screening 25%
49,15.0,65.58790000000002,Total infected,Screening 25%
50,16.0,72.7739,Total infected,Screening 25%
51,17.0,80.64319999999998,Total infected,Screening 25%
52,18.0,89.0001,Total infected,Screening 25%
53,19.0,97.21110000000002,Total infected,Screening 25%
54,20.0,104.52779999999998,Total infected,Screening 25%
55,21.0,110.66829999999999,Total infected,Screening 25%
56,22.0,114.91460000000001,Total infected,Screening 25%
57,23.0,119.3819,Total infected,Screening 25%
58,24.0,123.8845,Total infected,Screening 25%
59,25.0,128.7789,Total infected,Screening 25%
60,26.0,133.0152,Total infected,Screening 25%
61,27.0,136.9698,Total infected,Screening 25%
