,day,cumulative_infected,type,type_of_screening_pretty
0,1.0,1.0,Total infected,Without screening
1,2.0,1.2241999999999962,Total infected,Without screening
2,3.0,1.6295999999999822,Total infected,Without screening
3,4.0,2.1561000000000092,Total infected,Without screening
4,5.0,2.9579999999999984,Total infected,Without screening
5,6.0,3.8559000000000196,Total infected,Without screening
6,7.0,4.530500000000018,Total infected,Without screening
7,8.0,5.0120000000000005,Total infected,Without screening
8,9.0,5.888900000000007,Total infected,Without screening
9,10.0,7.042100000000005,Total infected,Without screening
10,11.0,8.286200000000008,Total infected,Without screening
11,12.0,9.7868,Total infected,Without screening
12,13.0,11.469499999999982,Total infected,Without screening
13,14.0,12.600599999999986,Total infected,Without screening
14,15.0,13.405400000000014,Total infected,Without screening
15,16.0,14.694699999999983,Total infected,Without screening
16,17.0,16.2372,Total infected,Without screening
17,18.0,17.96289999999999,Total infected,Without screening
18,19.0,19.84880000000001,Total infected,Without screening
19,20.0,22.028999999999996,Total infected,Without screening
20,21.0,23.535500000000013,Total infected,Without screening
21,22.0,24.594599999999986,Total infected,Without screening
22,23.0,26.21520000000001,Total infected,Without screening
23,24.0,28.160200000000003,Total infected,Without screening
24,25.0,30.38730000000001,Total infected,Without screening
25,26.0,32.9169,Total infected,Without screening
26,27.0,35.517499999999984,Total infected,Without screening
27,28.0,37.4434,Total infected,Without screening
28,29.0,38.846900000000005,Total infected,Without screening
29,30.0,40.9529,Total infected,Without screening
30,31.0,43.433400000000006,Total infected,Without screening
31,32.0,46.137100000000004,Total infected,Without screening
32,33.0,49.08009999999999,Total infected,Without screening
33,34.0,52.397399999999976,Total infected,Without screening
34,35.0,54.67259999999999,Total infected,Without screening
35,1.0,1.0,Total infected,Screening 25%
36,2.0,1.237499999999983,Total infected,Screening 25%
37,3.0,1.6259000000000015,Total infected,Screening 25%
38,4.0,2.1533000000000015,Total infected,Screening 25%
39,5.0,2.904200000000003,Total infected,Screening 25%
40,6.0,3.7347000000000037,Total infected,Screening 25%
41,7.0,4.357400000000013,Total infected,Screening 25%
42,8.0,4.796800000000019,Total infected,Screening 25%
43,9.0,5.502799999999979,Total infected,Screening 25%
44,10.0,6.455200000000019,Total infected,Screening 25%
45,11.0,7.486200000000025,Total infected,Screening 25%
46,12.0,8.558899999999994,Total infected,Screening 25%
47,13.0,9.804699999999997,Total infected,Screening 25%
48,14.0,10.69629999999998,Total infected,Screening 25%
49,15.0,11.310599999999965,Total infected,Screening 25%
50,16.0,12.272600000000011,Total infected,Screening 25%
51,17.0,13.33310000000003,Total infected,Screening 25%
52,18.0,14.43719999999999,Total infected,Screening 25%
53,19.0,15.671999999999969,Total infected,Screening 25%
54,20.0,17.00540000000001,Total infected,Screening 25%
55,21.0,17.961599999999976,Total infected,Screening 25%
56,22.0,18.638599999999997,Total infected,Screening 25%
57,23.0,19.58589999999998,Total infected,Screening 25%
58,24.0,20.700400000000002,Total infected,Screening 25%
59,25.0,21.915299999999974,Total infected,Screening 25%
60,26.0,23.21859999999998,Total infected,Screening 25%
61,27.0,24.54219999999998,Total infected,Screening 25%
62,28.0,25.530299999999983,Total infected,Screening 25%
63,29.0,26.2466,Total infected,Screening 25%
64,30.0,27.268599999999992,Total infected,Screening 25%
65,31.0,28.447699999999998,Total infected,Screening 25%
66,32.0,29.641599999999983,Total infected,Screening 25%
67,33.0,30.93029999999999,Total infected,Screening 25%
68,34.0,32.32230000000001,Total infected,Screening 25%
69,35.0,33.31869999999998,Total infected,Screening 25%
70,1.0,0.9999999999999716,Total infected,Screening 50%
71,2.0,1.1957999999999913,Total infected,Screening 50%
72,3.0,1.5895999999999901,Total infected,Screening 50%
73,4.0,2.133800000000008,Total infected,Screening 50%
74,5.0,2.7670999999999992,Total infected,Screening 50%
75,6.0,3.4964999999999975,Total infected,Screening 50%
76,7.0,4.081000000000017,Total infected,Screening 50%
77,8.0,4.47290000000001,Total infected,Screening 50%
78,9.0,5.151499999999999,Total infected,Screening 50%
79,10.0,5.926300000000026,Total infected,Screening 50%
80,11.0,6.77219999999997,Total infected,Screening 50%
81,12.0,7.604900000000015,Total infected,Screening 50%
82,13.0,8.490100000000012,Total infected,Screening 50%
83,14.0,9.123100000000022,Total infected,Screening 50%
84,15.0,9.596000000000004,Total infected,Screening 50%
85,16.0,10.294599999999974,Total infected,Screening 50%
86,17.0,11.0291,Total infected,Screening 50%
87,18.0,11.84450000000001,Total infected,Screening 50%
88,19.0,12.630700000000019,Total infected,Screening 50%
89,20.0,13.486199999999997,Total infected,Screening 50%
90,21.0,14.129099999999994,Total infected,Screening 50%
91,22.0,14.577500000000015,Total infected,Screening 50%
92,23.0,15.210800000000006,Total infected,Screening 50%
93,24.0,15.902600000000007,Total infected,Screening 50%
94,25.0,16.64669999999998,Total infected,Screening 50%
95,26.0,17.422699999999992,Total infected,Screening 50%
96,27.0,18.182799999999986,Total infected,Screening 50%
97,28.0,18.748999999999967,Total infected,Screening 50%
98,29.0,19.149200000000008,Total infected,Screening 50%
99,30.0,19.693600000000004,Total infected,Screening 50%
100,31.0,20.325400000000002,Total infected,Screening 50%
101,32.0,21.001300000000015,Total infected,Screening 50%
102,33.0,21.65059999999997,Total infected,Screening 50%
103,34.0,22.352899999999977,Total infected,Screening 50%
104,35.0,22.836799999999982,Total infected,Screening 50%
105,1.0,1.0,Total infected,Screening 100%
106,2.0,1.2121999999999957,Total infected,Screening 100%
107,3.0,1.6182000000000016,Total infected,Screening 100%
108,4.0,2.0992000000000246,Total infected,Screening 100%
109,5.0,2.672699999999992,Total infected,Screening 100%
110,6.0,3.3235999999999706,Total infected,Screening 100%
111,7.0,3.8000999999999863,Total infected,Screening 100%
112,8.0,4.162200000000013,Total infected,Screening 100%
113,9.0,4.6913000000000125,Total infected,Screening 100%
114,10.0,5.26430000000002,Total infected,Screening 100%
115,11.0,5.866199999999992,Total infected,Screening 100%
116,12.0,6.437100000000044,Total infected,Screening 100%
117,13.0,6.985300000000024,Total infected,Screening 100%
118,14.0,7.378600000000034,Total infected,Screening 100%
119,15.0,7.696700000000021,Total infected,Screening 100%
120,16.0,8.071499999999986,Total infected,Screening 100%
121,17.0,8.496199999999988,Total infected,Screening 100%
122,18.0,8.891300000000001,Total infected,Screening 100%
123,19.0,9.285599999999988,Total infected,Screening 100%
124,20.0,9.670299999999997,Total infected,Screening 100%
125,21.0,9.948200000000014,Total infected,Screening 100%
