day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456851	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456851	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	0	[]	0	0
2	123456851	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	2	0	0	0	0	0	0	0	50	0	[]	0	0
3	123456851	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	3	0	0	0	0	0	0	0	50	1	[]	0	0
4	123456851	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	4	0	0	0	0	0	0	0	50	1	[]	0	0
5	123456851	236	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	120	4	0	0	0	0	0	0	0	50	2	[]	0	1
6	123456851	236	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	120	4	0	0	0	0	0	0	0	50	2	[]	0	1
7	123456851	236	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	120	6	0	0	0	0	0	0	0	50	2	[]	0	2
8	123456851	234	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	120	8	0	0	0	0	0	0	0	50	2	[]	0	2
9	123456851	218	1	1	0	16	2	1	1	0	0	0	0	0	0	0	0	240	8	0	1	0	0	0	0	0	50	2	[2C]	1	2
10	123456851	218	1	1	0	16	1	1	2	0	0	0	0	0	0	0	0	240	8	0	1	0	0	0	0	0	50	2	[2C]	1	2
11	123456851	218	1	1	0	16	1	1	2	0	0	0	0	0	0	0	0	240	8	0	1	0	0	0	0	0	50	2	[2C]	1	2
12	123456851	218	1	1	0	16	1	1	2	0	0	0	0	0	0	0	0	240	10	0	1	0	0	0	0	0	50	2	[2C]	1	2
13	123456851	218	1	1	0	16	0	2	2	0	0	0	0	0	0	0	0	240	11	0	1	0	0	0	0	0	50	2	[2C]	1	2
14	123456851	218	1	1	0	16	0	2	2	0	0	0	0	0	0	0	0	240	11	0	1	0	0	0	0	0	50	2	[2C]	1	2
15	123456851	218	0	2	0	16	0	1	3	0	0	0	0	0	0	0	0	240	11	0	1	0	0	0	0	0	50	2	[2C]	1	2
