day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456803	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456803	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	0	[]	0	0
2	123456803	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	1	0	0	0	0	0	0	0	50	0	[]	0	0
3	123456803	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	2	0	0	0	0	0	0	0	50	0	[]	0	0
4	123456803	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	4	0	0	0	0	0	0	0	50	0	[]	0	0
5	123456803	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	5	0	0	0	0	0	0	0	50	0	[]	0	0
6	123456803	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	6	0	0	0	0	0	0	0	50	0	[]	0	0
7	123456803	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	7	0	0	0	0	0	0	0	50	0	[]	0	0
8	123456803	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	8	0	0	0	0	0	0	0	50	0	[]	0	0
9	123456803	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	9	0	0	0	0	0	0	0	50	0	[]	0	0
10	123456803	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	12	0	0	0	0	0	0	0	50	1	[]	0	0
11	123456803	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	13	0	0	0	0	0	0	0	50	1	[]	0	0
12	123456803	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	14	0	0	0	0	0	0	0	50	1	[]	0	0
13	123456803	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	15	0	0	0	0	0	0	0	50	1	[]	0	0
14	123456803	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	15	0	0	0	0	0	0	0	50	1	[]	0	0
15	123456803	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	17	0	0	0	0	0	0	0	50	1	[]	0	0
16	123456803	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	360	17	0	0	0	0	0	0	0	50	1	[]	0	0
17	123456803	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	360	20	0	0	0	0	0	0	0	50	1	[]	0	0
18	123456803	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	360	20	0	0	0	0	0	0	0	50	1	[]	0	0
19	123456803	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	360	20	0	0	0	0	0	0	0	50	1	[]	0	0
20	123456803	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	360	21	0	0	0	0	0	0	0	50	1	[]	0	0
21	123456803	239	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	360	21	0	0	0	0	0	0	0	50	1	[]	0	1
22	123456803	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	360	21	0	0	0	0	0	0	0	50	1	[]	0	0
23	123456803	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	480	23	0	0	0	0	0	0	0	50	1	[]	0	0
24	123456803	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	480	24	0	0	0	0	0	0	0	50	1	[]	0	0
25	123456803	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	480	26	0	0	0	0	0	0	0	50	1	[]	0	0
26	123456803	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	480	28	0	0	0	0	0	0	0	50	1	[]	0	0
27	123456803	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	480	29	0	0	0	0	0	0	0	50	1	[]	0	0
28	123456803	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	480	29	0	0	0	0	0	0	0	50	1	[]	0	0
29	123456803	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	480	29	0	0	0	0	0	0	0	50	1	[]	0	0
30	123456803	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	600	29	0	0	0	0	0	0	0	50	1	[]	0	0
31	123456803	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	600	30	0	0	0	0	0	0	0	50	1	[]	0	0
32	123456803	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	600	32	0	0	0	0	0	0	0	50	1	[]	0	0
33	123456803	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	600	34	0	0	0	0	0	0	0	50	1	[]	0	0
34	123456803	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	600	34	0	0	0	0	0	0	0	50	1	[]	0	0
35	123456803	239	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	600	34	0	0	0	0	0	0	0	50	1	[]	0	0
