day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456854	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456854	237	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	1
2	123456854	219	1	0	0	0	0	0	0	0	0	0	0	18	0	2	0	22	1	1	0	0	1	0	0	0	50	0	[2B]	1	1
3	123456854	219	1	0	0	0	0	0	0	0	0	0	0	18	0	1	1	22	1	1	0	0	1	0	0	0	50	0	[2B]	1	1
4	123456854	216	3	1	0	0	0	0	0	0	0	0	0	18	0	1	1	22	3	1	0	0	1	0	0	0	50	0	[2B]	1	2
5	123456854	216	3	1	0	0	0	0	0	0	0	0	0	18	0	1	1	22	4	1	0	0	1	0	0	0	50	0	[2B]	1	2
6	123456854	216	1	3	0	0	0	0	0	0	0	0	0	18	0	0	2	22	4	1	0	0	1	0	0	0	50	0	[2B]	1	1
7	123456854	216	0	4	0	0	0	0	0	0	0	0	0	18	0	0	2	22	6	1	0	0	1	0	0	0	50	0	[2B]	1	1
8	123456854	212	4	3	1	0	0	0	0	0	0	0	0	18	0	0	2	22	6	1	0	0	1	0	0	0	50	0	[2B]	1	1
9	123456854	210	4	4	2	0	0	0	0	0	0	0	0	18	0	0	2	44	7	1	0	0	1	0	0	0	50	0	[2B]	1	1
10	123456854	208	6	3	3	0	0	0	0	0	0	0	0	18	0	0	2	44	8	1	0	0	1	0	0	0	50	0	[2B]	1	1
11	123456854	206	5	5	4	0	0	0	0	0	0	0	0	18	0	0	2	44	9	1	0	0	1	0	0	0	50	0	[2B]	1	1
12	123456854	204	6	6	4	0	0	0	0	0	0	0	0	18	0	0	2	44	10	1	0	0	1	0	0	0	50	0	[2B]	1	1
13	123456854	204	3	9	4	0	0	0	0	0	0	0	0	18	0	0	2	44	11	1	0	0	1	0	0	0	50	0	[2B]	1	1
14	123456854	204	3	9	4	0	0	0	0	0	0	0	0	18	0	0	2	44	12	1	0	0	1	0	0	0	50	0	[2B]	1	1
15	123456854	203	4	7	6	0	0	0	0	0	0	0	0	18	0	0	2	44	12	1	0	0	1	0	0	0	50	0	[2B]	1	1
16	123456854	217	7	7	9	0	0	0	0	0	0	0	0	0	0	0	0	68	13	1	0	0	1	0	0	0	50	0	[]	0	1
17	123456854	217	5	9	9	0	0	0	0	0	0	0	0	0	0	0	0	68	14	1	0	0	1	0	0	0	50	0	[]	0	2
18	123456854	217	5	8	10	0	0	0	0	0	0	0	0	0	0	0	0	68	14	1	0	0	1	0	0	0	50	0	[]	0	2
19	123456854	215	4	10	11	0	0	0	0	0	0	0	0	0	0	0	0	68	14	1	0	0	1	0	0	0	50	0	[]	0	2
20	123456854	215	2	12	11	0	0	0	0	0	0	0	0	0	0	0	0	68	14	1	0	0	1	0	0	0	50	0	[]	0	3
21	123456854	215	2	10	13	0	0	0	0	0	0	0	0	0	0	0	0	68	15	1	0	0	1	0	0	0	50	0	[]	0	3
22	123456854	213	4	8	15	0	0	0	0	0	0	0	0	0	0	0	0	68	16	1	0	0	1	0	0	0	50	0	[]	0	3
23	123456854	212	3	2	3	0	0	5	15	0	0	0	0	0	0	0	0	92	16	1	1	0	1	0	0	0	50	0	[3B]	1	3
24	123456854	211	4	2	3	0	0	4	16	0	0	0	0	0	0	0	0	92	17	1	1	0	1	0	0	0	50	0	[3B]	1	3
25	123456854	209	5	3	3	0	0	4	16	0	0	0	0	0	0	0	0	92	17	1	1	0	1	0	0	0	50	0	[3B]	1	3
26	123456854	209	5	1	5	0	0	3	17	0	0	0	0	0	0	0	0	92	17	1	1	0	1	0	0	0	50	0	[3B]	1	2
27	123456854	209	3	2	6	0	0	2	18	0	0	0	0	0	0	0	0	92	17	1	1	0	1	0	0	0	50	0	[3B]	1	2
28	123456854	209	3	2	6	0	0	2	18	0	0	0	0	0	0	0	0	92	17	1	1	0	1	0	0	0	50	0	[3B]	1	2
29	123456854	205	5	4	6	0	0	2	18	0	0	0	0	0	0	0	0	92	17	1	1	0	1	0	0	0	50	0	[3B]	1	4
30	123456854	187	2	4	7	17	1	3	19	0	0	0	0	0	0	0	0	114	17	1	2	0	1	0	0	0	50	0	[3B 2D]	2	5
31	123456854	186	3	2	9	17	1	3	19	0	0	0	0	0	0	0	0	114	18	1	2	0	1	0	0	0	50	0	[3B 2D]	2	4
32	123456854	186	2	2	10	17	1	3	19	0	0	0	0	0	0	0	0	114	18	1	2	0	1	0	0	0	50	0	[3B 2D]	2	4
33	123456854	186	2	2	10	17	1	2	20	0	0	0	0	0	0	0	0	114	18	1	2	0	1	0	0	0	50	0	[3B 2D]	2	4
34	123456854	186	2	2	10	17	0	2	21	0	0	0	0	0	0	0	0	114	18	1	2	0	1	0	0	0	50	0	[3B 2D]	2	4
35	123456854	186	2	1	11	17	0	2	21	0	0	0	0	0	0	0	0	114	21	1	2	0	1	0	0	0	50	0	[3B 2D]	2	3
