day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-vaccinated-susceptible-in-quarantine	num-vaccinated-exposed-in-quarantine	num-vaccinated-infected-in-quarantine	num-vaccinated-removed-in-quarantine	num-vaccinated-susceptible-in-quarantine-external-1	num-vaccinated-exposed-in-quarantine-external-1	num-vaccinated-infected-in-quarantine-external-1	num-vaccinated-removed-in-quarantine-external-1	num-vaccinated-susceptible-in-quarantine-external-2	num-vaccinated-exposed-in-quarantine-external-2	num-vaccinated-infected-in-quarantine-external-2	num-vaccinated-removed-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456885	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
1	123456885	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	1	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
2	123456885	71	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	1	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	0
3	123456885	71	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	2	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	0
4	123456885	71	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	3	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	0
5	123456885	71	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	4	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	0
6	123456885	71	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	7	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	0
7	123456885	71	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	8	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	1
8	123456885	71	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	120	8	0	0	0	0	217	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	1
9	123456885	70	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	120	10	0	0	0	0	217	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	1
10	123456885	69	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	120	10	0	0	0	0	216	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	1
11	123456885	66	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	120	11	0	0	0	0	213	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	1
12	123456885	66	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	120	13	0	0	0	0	213	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	1
13	123456885	66	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	120	14	0	0	0	0	213	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	1
14	123456885	66	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	120	16	0	0	0	0	213	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	1
15	123456885	66	0	0	0	0	1	4	1	0	0	0	0	0	0	0	0	199	16	0	4	0	0	204	0	0	0	9	2	0	3	0	0	0	0	0	0	0	0	1	[1D]	1	1
16	123456885	66	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	199	17	0	4	0	0	204	0	0	0	9	1	1	3	0	0	0	0	0	0	0	0	1	[1D]	1	1
17	123456885	66	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	199	18	0	4	0	0	204	0	0	0	9	0	2	3	0	0	0	0	0	0	0	0	1	[1D]	1	1
18	123456885	66	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	199	18	0	4	0	0	203	1	0	0	9	0	2	3	0	0	0	0	0	0	0	0	2	[1D]	1	1
19	123456885	66	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	199	18	0	4	0	0	203	1	0	0	9	0	2	3	0	0	0	0	0	0	0	0	2	[1D]	1	1
20	123456885	66	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	199	18	0	4	0	0	203	1	0	0	9	0	2	3	0	0	0	0	0	0	0	0	2	[1D]	1	1
