day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-vaccinated-susceptible-in-quarantine	num-vaccinated-exposed-in-quarantine	num-vaccinated-infected-in-quarantine	num-vaccinated-removed-in-quarantine	num-vaccinated-susceptible-in-quarantine-external-1	num-vaccinated-exposed-in-quarantine-external-1	num-vaccinated-infected-in-quarantine-external-1	num-vaccinated-removed-in-quarantine-external-1	num-vaccinated-susceptible-in-quarantine-external-2	num-vaccinated-exposed-in-quarantine-external-2	num-vaccinated-infected-in-quarantine-external-2	num-vaccinated-removed-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457099	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
1	123457099	71	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	1	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	0
2	123457099	71	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	1	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	0
3	123457099	70	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	1	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	1
4	123457099	70	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	60	1	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	0
5	123457099	70	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	60	2	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	0
6	123457099	70	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	60	5	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	0
7	123457099	70	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	60	6	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	0
8	123457099	70	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	120	6	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	0
9	123457099	70	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	120	6	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	0
10	123457099	70	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	120	7	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	0
11	123457099	70	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	120	7	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	0
12	123457099	70	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	120	7	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	1
13	123457099	69	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	120	7	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	1
14	123457099	69	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	120	7	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	2
15	123457099	69	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	180	7	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	2
16	123457099	69	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	180	7	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	2
17	123457099	69	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	180	10	0	0	0	0	217	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	2
18	123457099	67	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	180	12	0	0	0	0	217	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	2
19	123457099	67	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	180	13	0	0	0	0	217	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	2
20	123457099	67	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	180	14	0	0	0	0	216	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	[]	0	2
21	123457099	67	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	180	14	0	0	0	0	216	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	[]	0	2
22	123457099	67	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	240	14	0	0	0	0	216	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	[]	0	2
23	123457099	67	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	240	16	0	0	0	0	216	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	[]	0	2
24	123457099	67	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	240	17	0	0	0	0	216	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	[]	0	1
25	123457099	67	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	240	18	0	0	0	0	216	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	[]	0	1
26	123457099	66	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	240	20	0	0	0	0	216	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	[]	0	1
27	123457099	66	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	240	21	0	0	0	0	216	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	[]	0	1
28	123457099	66	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	240	21	0	0	0	0	216	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	[]	0	1
29	123457099	64	2	2	4	0	0	0	0	0	0	0	0	0	0	0	0	300	22	0	0	0	0	214	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	[]	0	1
30	123457099	63	2	3	4	0	0	0	0	0	0	0	0	0	0	0	0	300	22	0	0	0	0	213	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	3	[]	0	1
31	123457099	63	2	3	4	0	0	0	0	0	0	0	0	0	0	0	0	300	23	0	0	0	0	212	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	4	[]	0	1
32	123457099	63	2	3	4	0	0	0	0	0	0	0	0	0	0	0	0	300	24	0	0	0	0	208	6	1	3	0	0	0	0	0	0	0	0	0	0	0	0	4	[]	0	1
33	123457099	63	2	1	6	0	0	0	0	0	0	0	0	0	0	0	0	300	24	0	0	0	0	207	5	3	3	0	0	0	0	0	0	0	0	0	0	0	0	4	[]	0	2
34	123457099	63	1	2	6	0	0	0	0	0	0	0	0	0	0	0	0	300	25	0	0	0	0	207	3	5	3	0	0	0	0	0	0	0	0	0	0	0	0	4	[]	0	3
35	123457099	63	1	2	6	0	0	0	0	0	0	0	0	0	0	0	0	300	26	0	0	0	0	207	2	6	3	0	0	0	0	0	0	0	0	0	0	0	0	4	[]	0	3
36	123457099	61	2	0	2	0	0	3	4	0	0	0	0	0	0	0	0	379	26	0	3	0	0	200	0	2	2	7	2	3	2	0	0	0	0	0	0	0	0	4	[2A]	1	3
37	123457099	59	2	2	2	0	0	2	5	0	0	0	0	0	0	0	0	379	26	0	3	0	0	198	2	2	2	7	1	4	2	0	0	0	0	0	0	0	0	5	[2A]	1	3
38	123457099	59	1	3	2	0	0	2	5	0	0	0	0	0	0	0	0	379	27	0	3	0	0	198	2	2	2	7	0	4	3	0	0	0	0	0	0	0	0	5	[2A]	1	3
