day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456898	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456898	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	2	0	0	0	0	0	0	0	50	1	[]	0	0
2	123456898	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	3	0	0	0	0	0	0	0	50	1	[]	0	0
3	123456898	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	4	0	0	0	0	0	0	0	50	1	[]	0	0
4	123456898	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	5	0	0	0	0	0	0	0	50	1	[]	0	0
5	123456898	237	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	5	0	0	0	0	0	0	0	50	2	[]	0	1
6	123456898	237	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	7	0	0	0	0	0	0	0	50	2	[]	0	1
7	123456898	237	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	9	0	0	0	0	0	0	0	50	2	[]	0	1
8	123456898	236	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	24	9	0	0	0	0	0	0	0	50	2	[]	0	2
9	123456898	233	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	24	10	0	0	0	0	0	0	0	50	3	[]	0	2
10	123456898	233	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	24	12	0	0	0	0	0	0	0	50	3	[]	0	2
11	123456898	229	5	5	1	0	0	0	0	0	0	0	0	0	0	0	0	24	14	0	0	0	0	0	0	0	50	3	[]	0	2
12	123456898	224	8	6	2	0	0	0	0	0	0	0	0	0	0	0	0	24	15	0	0	0	0	0	0	0	50	3	[]	0	3
13	123456898	224	5	9	2	0	0	0	0	0	0	0	0	0	0	0	0	24	16	0	0	0	0	0	0	0	50	3	[]	0	4
14	123456898	224	2	10	4	0	0	0	0	0	0	0	0	0	0	0	0	24	16	0	0	0	0	0	0	0	50	3	[]	0	3
15	123456898	221	5	9	5	0	0	0	0	0	0	0	0	0	0	0	0	36	18	0	0	0	0	0	0	0	50	3	[]	0	3
16	123456898	216	9	10	5	0	0	0	0	0	0	0	0	0	0	0	0	36	18	0	0	0	0	0	0	0	50	3	[]	0	3
17	123456898	213	9	12	6	0	0	0	0	0	0	0	0	0	0	0	0	36	19	0	0	0	0	0	0	0	50	4	[]	0	3
18	123456898	191	11	12	6	0	0	0	0	0	0	0	0	17	2	1	0	36	21	1	0	0	1	0	0	0	50	4	[2D]	1	4
19	123456898	185	13	14	8	0	0	0	0	0	0	0	0	17	2	1	0	36	22	1	0	0	1	0	0	0	50	4	[2D]	1	4
20	123456898	185	11	15	9	0	0	0	0	0	0	0	0	17	1	2	0	36	22	1	0	0	1	0	0	0	50	4	[2D]	1	4
21	123456898	185	7	15	13	0	0	0	0	0	0	0	0	17	1	1	1	36	22	1	0	0	1	0	0	0	50	4	[2D]	1	4
22	123456898	158	4	7	11	27	1	9	3	0	0	0	0	17	1	0	2	47	22	1	2	0	1	0	0	0	50	4	[2D 1A 3A]	3	4
23	123456898	157	4	6	13	27	1	8	4	0	0	0	0	17	1	0	2	47	22	1	2	0	1	0	0	0	50	4	[2D 1A 3A]	3	4
24	123456898	154	4	8	14	27	1	8	4	0	0	0	0	17	1	0	2	47	22	1	2	0	1	0	0	0	50	4	[2D 1A 3A]	3	4
25	123456898	154	4	7	15	27	0	9	4	0	0	0	0	17	1	0	2	47	22	1	2	0	1	0	0	0	50	4	[2D 1A 3A]	3	4
26	123456898	152	5	7	16	27	0	8	5	0	0	0	0	17	1	0	2	47	22	1	2	0	1	0	0	0	50	4	[2D 1A 3A]	3	4
27	123456898	152	4	4	20	27	0	5	8	0	0	0	0	17	1	0	2	47	23	1	2	0	1	0	0	0	50	4	[2D 1A 3A]	3	4
28	123456898	152	3	5	20	27	0	5	8	0	0	0	0	17	1	0	2	47	23	1	2	0	1	0	0	0	50	4	[2D 1A 3A]	3	4
