day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457576	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	0
1	123457576	239	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	1
2	123457576	239	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	1
3	123457576	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	1
4	123457576	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	1
5	123457576	237	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	50	0	0	0	0	[]	0	1
6	123457576	237	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	50	0	0	0	0	[]	0	1
7	123457576	237	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	50	0	0	0	0	[]	0	1
8	123457576	236	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	50	0	0	0	0	[]	0	1
9	123457576	234	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	50	0	0	0	0	[]	0	1
10	123457576	232	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	50	0	0	0	0	[]	0	1
11	123457576	229	5	4	2	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	50	0	0	0	0	[]	0	2
12	123457576	211	5	2	2	16	2	2	0	0	0	0	0	0	0	0	0	240	0	0	2	0	0	50	0	0	0	0	[2D]	1	2
13	123457576	211	4	3	2	16	2	2	0	0	0	0	0	0	0	0	0	240	0	0	2	0	0	50	0	0	0	0	[2D]	1	2
14	123457576	211	1	6	2	16	0	4	0	0	0	0	0	0	0	0	0	240	0	0	2	0	0	50	0	0	0	0	[2D]	1	2
15	123457576	205	7	6	2	16	0	4	0	0	0	0	0	0	0	0	0	240	0	0	2	0	0	50	0	0	0	0	[2D]	1	2
16	123457576	204	7	6	3	16	0	4	0	0	0	0	0	0	0	0	0	240	0	0	2	0	0	50	0	0	0	0	[2D]	1	2
17	123457576	204	5	8	3	16	0	4	0	0	0	0	0	0	0	0	0	240	0	0	2	0	0	50	0	0	0	0	[2D]	1	2
18	123457576	203	6	7	4	16	0	4	0	0	0	0	0	0	0	0	0	240	0	0	2	0	0	50	0	0	0	0	[2D]	1	2
19	123457576	200	0	0	0	19	4	12	5	0	0	0	0	0	0	0	0	350	0	0	5	0	0	50	0	0	0	0	[2D 3D]	2	2
20	123457576	200	0	0	0	19	3	11	7	0	0	0	0	0	0	0	0	350	0	0	5	0	0	50	0	0	0	0	[2D 3D]	2	2
21	123457576	200	0	0	0	19	3	7	11	0	0	0	0	0	0	0	0	350	0	0	5	0	0	50	0	0	0	0	[2D 3D]	2	2
22	123457576	200	0	0	0	19	1	9	11	0	0	0	0	0	0	0	0	350	0	0	5	0	0	50	0	0	0	0	[2D 3D]	2	2
23	123457576	200	0	0	0	19	0	10	11	0	0	0	0	0	0	0	0	350	0	0	5	0	0	50	0	0	0	0	[2D 3D]	2	2
24	123457576	200	0	0	0	19	0	8	13	0	0	0	0	0	0	0	0	350	0	0	5	0	0	50	0	0	0	0	[2D 3D]	2	2
25	123457576	200	0	0	0	19	0	8	13	0	0	0	0	0	0	0	0	350	0	0	5	0	0	50	0	0	0	0	[2D 3D]	2	2
26	123457576	216	0	0	4	3	0	4	13	0	0	0	0	0	0	0	0	460	0	0	5	0	0	50	0	0	0	0	[3D]	1	1
27	123457576	216	0	0	4	3	0	4	13	0	0	0	0	0	0	0	0	460	0	0	5	0	0	50	0	0	0	0	[3D]	1	1
28	123457576	216	0	0	4	3	0	4	13	0	0	0	0	0	0	0	0	460	0	0	5	0	0	50	0	0	0	0	[3D]	1	1
29	123457576	216	0	0	4	3	0	4	13	0	0	0	0	0	0	0	0	460	0	0	5	0	0	50	0	0	0	0	[3D]	1	1
30	123457576	216	0	0	4	3	0	4	13	0	0	0	0	0	0	0	0	460	0	0	5	0	0	50	0	0	0	0	[3D]	1	1
31	123457576	216	0	0	4	3	0	4	13	0	0	0	0	0	0	0	0	460	0	0	5	0	0	50	0	0	0	0	[3D]	1	1
32	123457576	216	0	0	4	3	0	1	16	0	0	0	0	0	0	0	0	460	0	0	5	0	0	50	0	0	0	0	[3D]	1	1
33	123457576	219	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	580	0	0	5	0	0	50	0	0	0	0	[]	0	0
34	123457576	219	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	580	0	0	5	0	0	50	0	0	0	0	[]	0	0
35	123457576	219	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	580	0	0	5	0	0	50	0	0	0	0	[]	0	0
