,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-students,num-of-screened-students-external-1,num-of-screened-students-external-2,num-of-positive-students,num-of-positive-students-external-1,num-of-positive-students-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000
1,1,239.9683,-0.0016,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5615,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,-0.0016,0.0000,0.0000
2,2,239.9233,0.0099,-0.0035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0972,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0133,0.0000,-0.0035
3,3,239.6244,0.0264,-0.0035,0.0000,-0.0891,0.0000,-0.0047,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,1.7419,0.0000,-0.0047,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0277,-0.0047,-0.0016
4,4,239.5648,0.0327,0.0037,0.0000,-0.0891,0.0000,-0.0047,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,2.4718,0.0000,-0.0047,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0518,-0.0047,0.0067
5,5,239.4728,0.0741,0.0020,0.0000,-0.0891,0.0000,-0.0047,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,3.1723,0.0000,-0.0047,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.0744,-0.0047,0.0065
6,6,239.4312,0.0840,0.0206,-0.0047,-0.0891,0.0000,0.0000,-0.0047,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,3.8407,0.0000,-0.0047,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.1055,-0.0047,0.0182
7,7,239.4003,0.0901,0.0369,0.0009,-0.0891,0.0000,0.0000,-0.0047,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,4.5986,0.0000,-0.0047,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.1309,-0.0047,0.0328
8,8,239.2361,0.1394,0.0594,-0.0003,-0.0891,0.0000,0.0000,-0.0047,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,5.3000,0.0000,-0.0047,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,0.1617,-0.0047,0.0540
9,9,238.8893,0.1689,0.0788,0.0089,-0.0891,0.0000,0.0000,-0.0047,0.0000,0.0000,0.0000,0.0000,-0.0898,0.0000,-0.0047,0.0000,60.0000,5.9604,-0.0047,-0.0047,0.0000,-0.0047,0.0000,0.0000,0.0000,50.0000,0.1744,-0.0037,0.0665
