day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456953	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456953	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	50	0	[]	0	1
2	123456953	220	0	0	0	18	0	2	0	0	0	0	0	0	0	0	0	36	3	0	1	0	0	0	0	0	50	0	[2C]	1	1
3	123456953	220	0	0	0	18	0	1	1	0	0	0	0	0	0	0	0	36	3	0	1	0	0	0	0	0	50	0	[2C]	1	1
4	123456953	220	0	0	0	18	0	1	1	0	0	0	0	0	0	0	0	58	3	0	1	0	0	0	0	0	50	0	[2C]	1	1
5	123456953	220	0	0	0	18	0	1	1	0	0	0	0	0	0	0	0	58	4	0	1	0	0	0	0	0	50	0	[2C]	1	1
6	123456953	220	0	0	0	18	0	1	1	0	0	0	0	0	0	0	0	58	6	0	1	0	0	0	0	0	50	0	[2C]	1	1
7	123456953	220	0	0	0	18	0	1	1	0	0	0	0	0	0	0	0	58	7	0	1	0	0	0	0	0	50	0	[2C]	1	1
8	123456953	220	0	0	0	18	0	0	2	0	0	0	0	0	0	0	0	58	7	0	1	0	0	0	0	0	50	0	[2C]	1	0
9	123456953	220	0	0	0	18	0	0	2	0	0	0	0	0	0	0	0	91	9	0	1	0	0	0	0	0	50	0	[2C]	1	0
10	123456953	220	0	0	0	18	0	0	2	0	0	0	0	0	0	0	0	91	11	0	1	0	0	0	0	0	50	0	[2C]	1	0
11	123456953	220	0	0	0	18	0	0	2	0	0	0	0	0	0	0	0	113	11	0	1	0	0	0	0	0	50	0	[2C]	1	0
12	123456953	220	0	0	0	18	0	0	2	0	0	0	0	0	0	0	0	113	12	0	1	0	0	0	0	0	50	0	[2C]	1	0
13	123456953	220	0	0	0	18	0	0	2	0	0	0	0	0	0	0	0	113	13	0	1	0	0	0	0	0	50	0	[2C]	1	0
14	123456953	220	0	0	0	18	0	0	2	0	0	0	0	0	0	0	0	113	13	0	1	0	0	0	0	0	50	0	[2C]	1	0
15	123456953	220	0	0	0	18	0	0	2	0	0	0	0	0	0	0	0	113	13	0	1	0	0	0	0	0	50	0	[2C]	1	0
16	123456953	238	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	149	14	0	1	0	0	0	0	0	50	0	[]	0	0
17	123456953	238	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	149	16	0	1	0	0	0	0	0	50	0	[]	0	0
18	123456953	238	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	173	16	0	1	0	0	0	0	0	50	0	[]	0	0
19	123456953	238	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	173	17	0	1	0	0	0	0	0	50	0	[]	0	0
20	123456953	238	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	173	17	0	1	0	0	0	0	0	50	0	[]	0	0
21	123456953	238	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	173	17	0	1	0	0	0	0	0	50	0	[]	0	0
22	123456953	238	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	173	18	0	1	0	0	0	0	0	50	0	[]	0	0
23	123456953	238	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	209	18	0	1	0	0	0	0	0	50	0	[]	0	0
24	123456953	238	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	209	18	0	1	0	0	0	0	0	50	0	[]	0	0
25	123456953	238	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	233	19	0	1	0	0	0	0	0	50	0	[]	0	0
26	123456953	238	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	233	21	0	1	0	0	0	0	0	50	0	[]	0	0
27	123456953	238	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	233	21	0	1	0	0	0	0	0	50	0	[]	0	0
28	123456953	238	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	233	21	0	1	0	0	0	0	0	50	0	[]	0	0
29	123456953	238	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	233	21	0	1	0	0	0	0	0	50	0	[]	0	0
30	123456953	238	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	269	22	0	1	0	0	0	0	0	50	0	[]	0	0
31	123456953	238	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	269	23	0	1	0	0	0	0	0	50	0	[]	0	0
32	123456953	238	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	293	23	0	1	0	0	0	0	0	50	0	[]	0	0
33	123456953	238	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	293	25	0	1	0	0	0	0	0	50	0	[]	0	0
34	123456953	238	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	293	25	0	1	0	0	0	0	0	50	0	[]	0	0
35	123456953	238	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	293	25	0	1	0	0	0	0	0	50	0	[]	0	0
