day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456985	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
1	123456985	239	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	1
2	123456985	236	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	1
3	123456985	236	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	1
4	123456985	235	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	[]	0	2
5	123456985	235	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	[]	0	2
6	123456985	235	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	[]	0	2
7	123456985	235	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	[]	0	2
8	123456985	234	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	[]	0	1
9	123456985	230	5	3	2	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	[]	0	1
10	123456985	230	3	5	2	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	[]	0	1
11	123456985	218	0	0	2	12	3	4	1	0	0	0	0	0	0	0	0	72	0	0	1	0	0	[2C]	1	1
12	123456985	218	0	0	2	12	2	5	1	0	0	0	0	0	0	0	0	72	0	0	1	0	0	[2C]	1	1
13	123456985	218	0	0	2	12	1	6	1	0	0	0	0	0	0	0	0	72	0	0	1	0	0	[2C]	1	1
14	123456985	218	0	0	2	12	0	5	3	0	0	0	0	0	0	0	0	72	0	0	1	0	0	[2C]	1	1
15	123456985	218	0	0	2	12	0	4	4	0	0	0	0	0	0	0	0	72	0	0	1	0	0	[2C]	1	1
16	123456985	218	0	0	2	12	0	3	5	0	0	0	0	0	0	0	0	72	0	0	1	0	0	[2C]	1	1
17	123456985	218	0	0	2	12	0	2	6	0	0	0	0	0	0	0	0	72	0	0	1	0	0	[2C]	1	1
18	123456985	218	0	0	2	12	0	2	6	0	0	0	0	0	0	0	0	105	0	0	1	0	0	[2C]	1	1
19	123456985	218	0	0	2	12	0	2	6	0	0	0	0	0	0	0	0	105	0	0	1	0	0	[2C]	1	1
20	123456985	218	0	0	2	12	0	2	6	0	0	0	0	0	0	0	0	105	0	0	1	0	0	[2C]	1	1
21	123456985	218	0	0	2	12	0	2	6	0	0	0	0	0	0	0	0	105	0	0	1	0	0	[2C]	1	1
22	123456985	218	0	0	2	12	0	2	6	0	0	0	0	0	0	0	0	105	0	0	1	0	0	[2C]	1	1
23	123456985	218	0	0	2	12	0	2	6	0	0	0	0	0	0	0	0	105	0	0	1	0	0	[2C]	1	1
24	123456985	218	0	0	2	12	0	2	6	0	0	0	0	0	0	0	0	105	0	0	1	0	0	[2C]	1	1
25	123456985	230	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	1	0	0	[]	0	0
26	123456985	230	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	1	0	0	[]	0	0
27	123456985	230	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	1	0	0	[]	0	0
28	123456985	230	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	1	0	0	[]	0	0
29	123456985	230	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	1	0	0	[]	0	0
30	123456985	230	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	1	0	0	[]	0	0
31	123456985	230	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	1	0	0	[]	0	0
32	123456985	230	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	1	0	0	[]	0	0
33	123456985	230	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	1	0	0	[]	0	0
34	123456985	230	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	1	0	0	[]	0	0
35	123456985	230	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	1	0	0	[]	0	0
