,day,agents,type,type_of_screening_pretty
0,1.0,1.0,Infected,Without screening
1,2.0,1.1221,Infected,Without screening
2,3.0,1.4044,Infected,Without screening
3,4.0,1.8649,Infected,Without screening
4,5.0,2.4284,Infected,Without screening
5,6.0,3.0621,Infected,Without screening
6,7.0,3.3393,Infected,Without screening
7,8.0,3.4124,Infected,Without screening
8,9.0,3.8348,Infected,Without screening
9,10.0,4.3764,Infected,Without screening
10,11.0,5.0871,Infected,Without screening
11,12.0,5.8799,Infected,Without screening
12,13.0,6.6787,Infected,Without screening
13,14.0,6.96,Infected,Without screening
14,15.0,6.8769,Infected,Without screening
15,16.0,7.1572,Infected,Without screening
16,17.0,7.6597,Infected,Without screening
17,18.0,8.2683,Infected,Without screening
18,19.0,8.956,Infected,Without screening
19,20.0,9.7808,Infected,Without screening
20,21.0,9.956,Infected,Without screening
21,22.0,9.6857,Infected,Without screening
22,23.0,9.8158,Infected,Without screening
23,24.0,10.3333,Infected,Without screening
24,25.0,10.9379,Infected,Without screening
25,26.0,11.6967,Infected,Without screening
26,27.0,12.4304,Infected,Without screening
27,28.0,12.5986,Infected,Without screening
28,29.0,12.1191,Infected,Without screening
29,30.0,12.3844,Infected,Without screening
30,31.0,12.8859,Infected,Without screening
31,32.0,13.6967,Infected,Without screening
32,33.0,14.4845,Infected,Without screening
33,34.0,15.3123,Infected,Without screening
34,35.0,15.4144,Infected,Without screening
35,1.0,0.0,Infected in quarantine,Without screening
36,2.0,0.0,Infected in quarantine,Without screening
37,3.0,0.0,Infected in quarantine,Without screening
38,4.0,0.0,Infected in quarantine,Without screening
39,5.0,0.0,Infected in quarantine,Without screening
40,6.0,0.0,Infected in quarantine,Without screening
41,7.0,0.0,Infected in quarantine,Without screening
42,8.0,0.0,Infected in quarantine,Without screening
43,9.0,0.0,Infected in quarantine,Without screening
44,10.0,0.0,Infected in quarantine,Without screening
45,11.0,0.0,Infected in quarantine,Without screening
46,12.0,0.0,Infected in quarantine,Without screening
47,13.0,0.0,Infected in quarantine,Without screening
48,14.0,0.0,Infected in quarantine,Without screening
49,15.0,0.0,Infected in quarantine,Without screening
50,16.0,0.0,Infected in quarantine,Without screening
51,17.0,0.0,Infected in quarantine,Without screening
52,18.0,0.0,Infected in quarantine,Without screening
53,19.0,0.0,Infected in quarantine,Without screening
54,20.0,0.0,Infected in quarantine,Without screening
55,21.0,0.0,Infected in quarantine,Without screening
56,22.0,0.0,Infected in quarantine,Without screening
57,23.0,0.0,Infected in quarantine,Without screening
58,24.0,0.0,Infected in quarantine,Without screening
59,25.0,0.0,Infected in quarantine,Without screening
60,26.0,0.0,Infected in quarantine,Without screening
61,27.0,0.0,Infected in quarantine,Without screening
62,28.0,0.0,Infected in quarantine,Without screening
63,29.0,0.0,Infected in quarantine,Without screening
64,30.0,0.0,Infected in quarantine,Without screening
65,31.0,0.0,Infected in quarantine,Without screening
66,32.0,0.0,Infected in quarantine,Without screening
67,33.0,0.0,Infected in quarantine,Without screening
68,34.0,0.0,Infected in quarantine,Without screening
69,35.0,0.0,Infected in quarantine,Without screening
70,1.0,0.9866,Infected,Screening 25%
71,2.0,1.0523,Infected,Screening 25%
72,3.0,1.2875,Infected,Screening 25%
73,4.0,1.5786,Infected,Screening 25%
74,5.0,1.9636,Infected,Screening 25%
75,6.0,2.5179,Infected,Screening 25%
76,7.0,2.7271,Infected,Screening 25%
77,8.0,2.6112,Infected,Screening 25%
78,9.0,2.7884,Infected,Screening 25%
79,10.0,3.0252,Infected,Screening 25%
80,11.0,3.3305,Infected,Screening 25%
81,12.0,3.5649,Infected,Screening 25%
82,13.0,4.1798,Infected,Screening 25%
83,14.0,4.384,Infected,Screening 25%
84,15.0,3.9906,Infected,Screening 25%
85,16.0,3.9353,Infected,Screening 25%
86,17.0,4.0142,Infected,Screening 25%
87,18.0,4.0923,Infected,Screening 25%
88,19.0,4.1812,Infected,Screening 25%
89,20.0,4.7513,Infected,Screening 25%
90,21.0,4.9085,Infected,Screening 25%
91,22.0,4.4943,Infected,Screening 25%
92,23.0,4.3564,Infected,Screening 25%
93,24.0,4.3157,Infected,Screening 25%
94,25.0,4.4004,Infected,Screening 25%
95,26.0,4.5049,Infected,Screening 25%
96,27.0,5.0082,Infected,Screening 25%
97,28.0,5.0707,Infected,Screening 25%
98,29.0,4.6356,Infected,Screening 25%
99,30.0,4.4236,Infected,Screening 25%
100,31.0,4.3936,Infected,Screening 25%
101,32.0,4.4474,Infected,Screening 25%
102,33.0,4.5037,Infected,Screening 25%
103,34.0,4.9267,Infected,Screening 25%
104,35.0,4.9878,Infected,Screening 25%
105,1.0,0.0134,Infected in quarantine,Screening 25%
106,2.0,0.0318,Infected in quarantine,Screening 25%
107,3.0,0.0601,Infected in quarantine,Screening 25%
108,4.0,0.1189,Infected in quarantine,Screening 25%
109,5.0,0.2236,Infected in quarantine,Screening 25%
110,6.0,0.2262,Infected in quarantine,Screening 25%
111,7.0,0.2224,Infected in quarantine,Screening 25%
112,8.0,0.357,Infected in quarantine,Screening 25%
113,9.0,0.5107,Infected in quarantine,Screening 25%
114,10.0,0.7049,Infected in quarantine,Screening 25%
115,11.0,0.9277,Infected in quarantine,Screening 25%
116,12.0,1.2008,Infected in quarantine,Screening 25%
117,13.0,1.1345,Infected in quarantine,Screening 25%
118,14.0,1.0475,Infected in quarantine,Screening 25%
119,15.0,1.2723,Infected in quarantine,Screening 25%
120,16.0,1.4711,Infected in quarantine,Screening 25%
121,17.0,1.6981,Infected in quarantine,Screening 25%
122,18.0,1.8797,Infected in quarantine,Screening 25%
123,19.0,2.0458,Infected in quarantine,Screening 25%
124,20.0,1.9117,Infected in quarantine,Screening 25%
125,21.0,1.7551,Infected in quarantine,Screening 25%
126,22.0,1.8775,Infected in quarantine,Screening 25%
127,23.0,1.9704,Infected in quarantine,Screening 25%
128,24.0,2.0745,Infected in quarantine,Screening 25%
129,25.0,2.1796,Infected in quarantine,Screening 25%
130,26.0,2.2686,Infected in quarantine,Screening 25%
131,27.0,2.0897,Infected in quarantine,Screening 25%
132,28.0,1.8613,Infected in quarantine,Screening 25%
133,29.0,1.9369,Infected in quarantine,Screening 25%
134,30.0,2.0761,Infected in quarantine,Screening 25%
135,31.0,2.1559,Infected in quarantine,Screening 25%
136,32.0,2.192,Infected in quarantine,Screening 25%
137,33.0,2.2675,Infected in quarantine,Screening 25%
138,34.0,2.0729,Infected in quarantine,Screening 25%
139,35.0,1.8709,Infected in quarantine,Screening 25%
140,1.0,0.9766,Infected,Screening 50%
141,2.0,1.0268,Infected,Screening 50%
142,3.0,1.2016,Infected,Screening 50%
143,4.0,1.4855,Infected,Screening 50%
144,5.0,1.7788,Infected,Screening 50%
145,6.0,2.2407,Infected,Screening 50%
146,7.0,2.4433,Infected,Screening 50%
147,8.0,2.2805,Infected,Screening 50%
148,9.0,2.2897,Infected,Screening 50%
149,10.0,2.4064,Infected,Screening 50%
150,11.0,2.5191,Infected,Screening 50%
151,12.0,2.6555,Infected,Screening 50%
152,13.0,3.1373,Infected,Screening 50%
153,14.0,3.3121,Infected,Screening 50%
154,15.0,2.8767,Infected,Screening 50%
155,16.0,2.6643,Infected,Screening 50%
156,17.0,2.5546,Infected,Screening 50%
157,18.0,2.5249,Infected,Screening 50%
158,19.0,2.5073,Infected,Screening 50%
159,20.0,2.9493,Infected,Screening 50%
160,21.0,3.0857,Infected,Screening 50%
161,22.0,2.6775,Infected,Screening 50%
162,23.0,2.4719,Infected,Screening 50%
163,24.0,2.3742,Infected,Screening 50%
164,25.0,2.3031,Infected,Screening 50%
165,26.0,2.2478,Infected,Screening 50%
166,27.0,2.5353,Infected,Screening 50%
167,28.0,2.6394,Infected,Screening 50%
168,29.0,2.3243,Infected,Screening 50%
169,30.0,2.1798,Infected,Screening 50%
170,31.0,2.028,Infected,Screening 50%
171,32.0,1.9734,Infected,Screening 50%
172,33.0,1.9738,Infected,Screening 50%
173,34.0,2.2605,Infected,Screening 50%
174,35.0,2.3251,Infected,Screening 50%
175,1.0,0.0234,Infected in quarantine,Screening 50%
176,2.0,0.0549,Infected in quarantine,Screening 50%
177,3.0,0.1121,Infected in quarantine,Screening 50%
178,4.0,0.2128,Infected in quarantine,Screening 50%
179,5.0,0.383,Infected in quarantine,Screening 50%
180,6.0,0.391,Infected in quarantine,Screening 50%
181,7.0,0.378,Infected in quarantine,Screening 50%
182,8.0,0.6076,Infected in quarantine,Screening 50%
183,9.0,0.8537,Infected in quarantine,Screening 50%
184,10.0,1.1081,Infected in quarantine,Screening 50%
185,11.0,1.404,Infected in quarantine,Screening 50%
186,12.0,1.7505,Infected in quarantine,Screening 50%
187,13.0,1.666,Infected in quarantine,Screening 50%
