day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456905	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	0
1	123456905	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	1
2	123456905	237	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	1
3	123456905	236	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	1
4	123456905	233	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	50	0	0	0	0	[]	0	1
5	123456905	232	2	5	1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	50	0	0	0	0	[]	0	1
6	123456905	232	2	5	1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	50	0	0	0	0	[]	0	1
7	123456905	232	2	5	1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	50	0	0	0	0	[]	0	1
8	123456905	228	5	6	1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	50	0	0	0	0	[]	0	1
9	123456905	225	7	6	2	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	50	0	0	0	0	[]	0	1
10	123456905	224	7	6	3	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	50	0	0	0	0	[]	0	1
11	123456905	223	7	5	5	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	50	0	0	0	0	[]	0	1
12	123456905	223	4	8	5	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	50	0	0	0	0	[]	0	1
13	123456905	223	4	6	7	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	50	0	0	0	0	[]	0	1
14	123456905	223	3	5	9	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	50	0	0	0	0	[]	0	1
15	123456905	223	3	5	9	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	50	0	0	0	0	[]	0	1
16	123456905	221	5	5	9	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	50	0	0	0	0	[]	0	1
17	123456905	219	7	5	9	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	50	0	0	0	0	[]	0	1
18	123456905	215	4	1	0	0	5	4	11	0	0	0	0	0	0	0	0	36	0	0	1	0	0	50	0	0	0	0	[3B]	1	2
19	123456905	215	4	0	1	0	4	5	11	0	0	0	0	0	0	0	0	36	0	0	1	0	0	50	0	0	0	0	[3B]	1	1
20	123456905	215	2	2	1	0	4	5	11	0	0	0	0	0	0	0	0	36	0	0	1	0	0	50	0	0	0	0	[3B]	1	2
21	123456905	215	1	3	1	0	4	5	11	0	0	0	0	0	0	0	0	36	0	0	1	0	0	50	0	0	0	0	[3B]	1	2
22	123456905	212	4	3	1	0	3	6	11	0	0	0	0	0	0	0	0	36	0	0	1	0	0	50	0	0	0	0	[3B]	1	2
23	123456905	212	2	5	1	0	2	7	11	0	0	0	0	0	0	0	0	36	0	0	1	0	0	50	0	0	0	0	[3B]	1	2
24	123456905	210	3	5	2	0	2	4	14	0	0	0	0	0	0	0	0	36	0	0	1	0	0	50	0	0	0	0	[3B]	1	2
25	123456905	200	0	0	0	10	2	9	19	0	0	0	0	0	0	0	0	47	0	0	2	0	0	50	0	0	0	0	[3B 2B]	2	2
26	123456905	200	0	0	0	10	2	9	19	0	0	0	0	0	0	0	0	47	0	0	2	0	0	50	0	0	0	0	[3B 2B]	2	2
27	123456905	200	0	0	0	10	1	10	19	0	0	0	0	0	0	0	0	47	0	0	2	0	0	50	0	0	0	0	[3B 2B]	2	2
28	123456905	200	0	0	0	10	1	7	22	0	0	0	0	0	0	0	0	47	0	0	2	0	0	50	0	0	0	0	[3B 2B]	2	2
29	123456905	200	0	0	0	10	1	6	23	0	0	0	0	0	0	0	0	47	0	0	2	0	0	50	0	0	0	0	[3B 2B]	2	2
30	123456905	200	0	0	0	10	0	6	24	0	0	0	0	0	0	0	0	47	0	0	2	0	0	50	0	0	0	0	[3B 2B]	2	2
31	123456905	200	0	0	0	10	0	6	24	0	0	0	0	0	0	0	0	47	0	0	2	0	0	50	0	0	0	0	[3B 2B]	2	2
32	123456905	200	0	0	20	10	0	5	5	0	0	0	0	0	0	0	0	58	0	0	2	0	0	50	0	0	0	0	[2B]	1	1
33	123456905	200	0	0	20	10	0	5	5	0	0	0	0	0	0	0	0	58	0	0	2	0	0	50	0	0	0	0	[2B]	1	1
34	123456905	200	0	0	20	10	0	4	6	0	0	0	0	0	0	0	0	58	0	0	2	0	0	50	0	0	0	0	[2B]	1	1
35	123456905	200	0	0	20	10	0	4	6	0	0	0	0	0	0	0	0	58	0	0	2	0	0	50	0	0	0	0	[2B]	1	1
