day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457144	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	0
1	123457144	237	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	1
2	123457144	237	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	0
3	123457144	237	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	0
4	123457144	237	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	50	0	0	0	0	[]	0	0
5	123457144	236	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	50	0	0	0	0	[]	0	1
6	123457144	236	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	50	0	0	0	0	[]	0	0
7	123457144	236	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	50	0	0	0	0	[]	0	0
8	123457144	236	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	50	0	0	0	0	[]	0	0
9	123457144	236	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	50	0	0	0	0	[]	0	0
10	123457144	234	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	50	0	0	0	0	[]	0	1
11	123457144	233	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	50	0	0	0	0	[]	0	1
12	123457144	233	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	49	1	0	0	0	[]	0	2
13	123457144	233	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	49	1	0	0	0	[]	0	2
14	123457144	233	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	49	1	0	0	0	[]	0	2
15	123457144	231	3	4	2	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	49	0	1	0	0	[]	0	2
16	123457144	224	8	6	2	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	49	0	1	0	0	[]	0	2
17	123457144	222	8	7	3	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	49	0	1	0	0	[]	0	2
18	123457144	211	5	4	0	8	3	6	3	0	0	0	0	0	0	0	0	180	0	0	1	0	0	49	0	1	0	0	[1B]	1	2
19	123457144	204	8	7	1	8	2	4	6	0	0	0	0	0	0	0	0	180	0	0	1	0	0	49	0	1	0	0	[1B]	1	3
20	123457144	204	6	9	1	8	2	4	6	0	0	0	0	0	0	0	0	180	0	0	1	0	0	49	0	1	0	0	[1B]	1	3
21	123457144	204	6	8	2	8	2	4	6	0	0	0	0	0	0	0	0	180	0	0	1	0	0	49	0	1	0	0	[1B]	1	3
22	123457144	193	16	9	2	8	1	5	6	0	0	0	0	0	0	0	0	180	0	0	1	0	0	49	0	1	0	0	[1B]	1	3
23	123457144	190	12	15	3	8	0	5	7	0	0	0	0	0	0	0	0	180	0	0	1	0	0	48	1	1	0	0	[1B]	1	3
24	123457144	189	11	15	5	8	0	5	7	0	0	0	0	0	0	0	0	180	0	0	1	0	0	48	1	1	0	0	[1B]	1	4
25	123457144	179	0	1	0	18	9	18	15	0	0	0	0	0	0	0	0	235	0	0	3	0	0	48	1	1	0	0	[1B 2B 3B]	3	4
26	123457144	179	0	1	0	18	9	15	18	0	0	0	0	0	0	0	0	235	0	0	3	0	0	48	0	2	0	0	[1B 2B 3B]	3	4
27	123457144	179	0	1	0	18	9	14	19	0	0	0	0	0	0	0	0	235	0	0	3	0	0	48	0	2	0	0	[1B 2B 3B]	3	4
28	123457144	179	0	1	0	18	7	14	21	0	0	0	0	0	0	0	0	235	0	0	3	0	0	48	0	2	0	0	[1B 2B 3B]	3	4
29	123457144	179	0	0	1	18	5	14	23	0	0	0	0	0	0	0	0	235	0	0	3	0	0	48	0	2	0	0	[1B 2B 3B]	3	4
30	123457144	179	0	0	1	18	5	10	27	0	0	0	0	0	0	0	0	235	0	0	3	0	0	48	0	2	0	0	[1B 2B 3B]	3	3
31	123457144	179	0	0	1	18	4	9	29	0	0	0	0	0	0	0	0	235	0	0	3	0	0	48	0	2	0	0	[1B 2B 3B]	3	3
