day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456979	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	0
1	123456979	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	1
2	123456979	237	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	1
3	123456979	235	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	2
4	123456979	218	1	0	1	17	1	2	0	0	0	0	0	0	0	0	0	60	0	0	2	0	0	50	0	0	0	0	[2A]	1	1
5	123456979	218	0	1	1	17	0	2	1	0	0	0	0	0	0	0	0	60	0	0	2	0	0	50	0	0	0	0	[2A]	1	2
6	123456979	218	0	1	1	17	0	2	1	0	0	0	0	0	0	0	0	60	0	0	2	0	0	50	0	0	0	0	[2A]	1	2
7	123456979	218	0	1	1	17	0	2	1	0	0	0	0	0	0	0	0	60	0	0	2	0	0	50	0	0	0	0	[2A]	1	2
8	123456979	216	2	1	1	17	0	1	2	0	0	0	0	0	0	0	0	60	0	0	2	0	0	50	0	0	0	0	[2A]	1	2
9	123456979	216	1	1	2	17	0	0	3	0	0	0	0	0	0	0	0	60	0	0	2	0	0	50	0	0	0	0	[2A]	1	1
