day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456967	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
1	123456967	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	1
2	123456967	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	[]	0	1
3	123456967	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	[]	0	1
4	123456967	237	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	[]	0	2
5	123456967	235	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	[]	0	2
6	123456967	235	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	[]	0	2
7	123456967	235	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	[]	0	2
8	123456967	233	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	[]	0	2
9	123456967	200	0	0	0	33	1	6	0	0	0	0	0	0	0	0	0	120	0	0	2	0	0	[2C 3C]	2	2
10	123456967	200	0	0	0	33	1	6	0	0	0	0	0	0	0	0	0	120	0	0	2	0	0	[2C 3C]	2	2
11	123456967	200	0	0	0	33	1	4	2	0	0	0	0	0	0	0	0	120	0	0	2	0	0	[2C 3C]	2	2
12	123456967	200	0	0	0	33	1	3	3	0	0	0	0	0	0	0	0	120	0	0	2	0	0	[2C 3C]	2	2
13	123456967	200	0	0	0	33	1	3	3	0	0	0	0	0	0	0	0	120	0	0	2	0	0	[2C 3C]	2	2
14	123456967	200	0	0	0	33	0	4	3	0	0	0	0	0	0	0	0	120	0	0	2	0	0	[2C 3C]	2	2
15	123456967	200	0	0	0	33	0	2	5	0	0	0	0	0	0	0	0	120	0	0	2	0	0	[2C 3C]	2	2
16	123456967	200	0	0	0	33	0	2	5	0	0	0	0	0	0	0	0	170	0	0	2	0	0	[2C 3C]	2	2
17	123456967	200	0	0	0	33	0	1	6	0	0	0	0	0	0	0	0	170	0	0	2	0	0	[2C 3C]	2	1
18	123456967	200	0	0	0	33	0	1	6	0	0	0	0	0	0	0	0	170	0	0	2	0	0	[2C 3C]	2	1
19	123456967	200	0	0	0	33	0	1	6	0	0	0	0	0	0	0	0	170	0	0	2	0	0	[2C 3C]	2	1
20	123456967	200	0	0	0	33	0	1	6	0	0	0	0	0	0	0	0	170	0	0	2	0	0	[2C 3C]	2	1
21	123456967	200	0	0	0	33	0	1	6	0	0	0	0	0	0	0	0	170	0	0	2	0	0	[2C 3C]	2	1
22	123456967	200	0	0	0	33	0	1	6	0	0	0	0	0	0	0	0	170	0	0	2	0	0	[2C 3C]	2	1
23	123456967	233	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	2	0	0	[]	0	0
24	123456967	233	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	2	0	0	[]	0	0
25	123456967	233	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	2	0	0	[]	0	0
26	123456967	233	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	2	0	0	[]	0	0
27	123456967	233	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	2	0	0	[]	0	0
28	123456967	233	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	2	0	0	[]	0	0
29	123456967	233	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	2	0	0	[]	0	0
30	123456967	233	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0	2	0	0	[]	0	0
31	123456967	233	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0	2	0	0	[]	0	0
32	123456967	233	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0	2	0	0	[]	0	0
33	123456967	233	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0	2	0	0	[]	0	0
34	123456967	233	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0	2	0	0	[]	0	0
35	123456967	233	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0	2	0	0	[]	0	0
