day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456951	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456951	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	1
2	123456951	237	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	1
3	123456951	235	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	1
4	123456951	233	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	50	0	[]	0	1
5	123456951	228	6	4	2	0	0	0	0	0	0	0	0	0	0	0	0	60	1	0	0	0	0	0	0	0	50	0	[]	0	1
6	123456951	228	3	6	3	0	0	0	0	0	0	0	0	0	0	0	0	60	3	0	0	0	0	0	0	0	50	0	[]	0	1
7	123456951	228	2	5	5	0	0	0	0	0	0	0	0	0	0	0	0	60	3	0	0	0	0	0	0	0	50	0	[]	0	2
8	123456951	227	3	5	5	0	0	0	0	0	0	0	0	0	0	0	0	60	3	0	0	0	0	0	0	0	50	0	[]	0	2
9	123456951	226	3	4	7	0	0	0	0	0	0	0	0	0	0	0	0	60	4	0	0	0	0	0	0	0	50	0	[]	0	2
10	123456951	222	7	4	7	0	0	0	0	0	0	0	0	0	0	0	0	60	4	0	0	0	0	0	0	0	50	0	[]	0	2
11	123456951	220	6	7	7	0	0	0	0	0	0	0	0	0	0	0	0	120	6	0	0	0	0	0	0	0	50	0	[]	0	2
12	123456951	219	5	8	8	0	0	0	0	0	0	0	0	0	0	0	0	120	6	0	0	0	0	0	0	0	50	0	[]	0	2
13	123456951	219	5	8	8	0	0	0	0	0	0	0	0	0	0	0	0	120	7	0	0	0	0	0	0	0	50	0	[]	0	2
14	123456951	204	3	6	7	0	0	0	0	0	0	0	0	15	0	4	1	120	9	1	0	0	1	0	0	0	50	0	[2A]	1	2
15	123456951	203	3	6	8	0	0	0	0	0	0	0	0	15	0	4	1	120	10	1	0	0	1	0	0	0	50	0	[2A]	1	2
16	123456951	201	3	8	8	0	0	0	0	0	0	0	0	15	0	4	1	120	12	1	0	0	1	0	0	0	50	0	[2A]	1	2
17	123456951	201	2	8	9	0	0	0	0	0	0	0	0	15	0	4	1	120	12	1	0	0	1	0	0	0	50	0	[2A]	1	3
18	123456951	194	4	2	0	3	1	6	10	0	0	0	0	15	0	2	3	175	12	1	1	0	1	0	0	0	50	0	[2A 3A]	2	4
19	123456951	193	3	4	0	3	1	6	10	0	0	0	0	15	0	2	3	175	12	1	1	0	1	0	0	0	50	0	[2A 3A]	2	4
20	123456951	193	3	3	1	3	1	6	10	0	0	0	0	15	0	1	4	175	14	1	1	0	1	0	0	0	50	0	[2A 3A]	2	4
21	123456951	193	3	3	1	3	0	7	10	0	0	0	0	15	0	1	4	175	14	1	1	0	1	0	0	0	50	0	[2A 3A]	2	4
22	123456951	191	4	4	1	3	0	6	11	0	0	0	0	15	0	1	4	175	15	1	1	0	1	0	0	0	50	0	[2A 3A]	2	4
23	123456951	188	7	3	2	3	0	5	12	0	0	0	0	15	0	1	4	175	16	1	1	0	1	0	0	0	50	0	[2A 3A]	2	4
24	123456951	185	6	6	3	3	0	5	12	0	0	0	0	15	0	1	4	175	16	1	1	0	1	0	0	0	50	0	[2A 3A]	2	3
25	123456951	176	0	1	3	12	5	10	13	0	0	0	0	15	0	0	5	225	16	1	2	0	1	0	0	0	50	0	[2A 3A 2D]	3	3
26	123456951	176	0	1	3	12	4	10	14	0	0	0	0	15	0	0	5	225	16	1	2	0	1	0	0	0	50	0	[2A 3A 2D]	3	3
27	123456951	176	0	1	3	12	4	10	14	0	0	0	0	15	0	0	5	225	16	1	2	0	1	0	0	0	50	0	[2A 3A 2D]	3	3
28	123456951	191	0	1	8	12	4	7	17	0	0	0	0	0	0	0	0	225	18	1	2	0	1	0	0	0	50	0	[3A 2D]	2	3
29	123456951	190	1	1	8	12	4	7	17	0	0	0	0	0	0	0	0	225	18	1	2	0	1	0	0	0	50	0	[3A 2D]	2	3
30	123456951	190	1	1	8	12	4	6	18	0	0	0	0	0	0	0	0	225	18	1	2	0	1	0	0	0	50	0	[3A 2D]	2	3
31	123456951	189	2	1	8	12	3	7	18	0	0	0	0	0	0	0	0	225	18	1	2	0	1	0	0	0	50	0	[3A 2D]	2	3
32	123456951	190	2	3	25	9	3	5	3	0	0	0	0	0	0	0	0	280	20	1	2	0	1	0	0	0	50	0	[2D]	1	2
33	123456951	190	2	2	26	9	1	7	3	0	0	0	0	0	0	0	0	280	21	1	2	0	1	0	0	0	50	0	[2D]	1	2
34	123456951	190	1	2	27	9	1	6	4	0	0	0	0	0	0	0	0	280	22	1	2	0	1	0	0	0	50	0	[2D]	1	2
35	123456951	190	0	2	28	9	1	5	5	0	0	0	0	0	0	0	0	280	22	1	2	0	1	0	0	0	50	0	[2D]	1	2
