day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456843	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456843	239	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	50	0	[]	0	1
2	123456843	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	50	0	[]	0	1
3	123456843	233	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	60	6	0	0	0	0	0	0	0	50	0	[]	0	1
4	123456843	232	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	60	8	0	0	0	0	0	0	0	50	0	[]	0	1
5	123456843	229	6	4	1	0	0	0	0	0	0	0	0	0	0	0	0	60	9	0	0	0	0	0	0	0	50	0	[]	0	1
6	123456843	229	4	5	2	0	0	0	0	0	0	0	0	0	0	0	0	60	9	0	0	0	0	0	0	0	50	0	[]	0	1
7	123456843	229	2	6	3	0	0	0	0	0	0	0	0	0	0	0	0	60	12	0	0	0	0	0	0	0	50	0	[]	0	2
8	123456843	207	4	6	3	0	0	0	0	0	0	0	0	19	0	1	0	60	13	1	0	0	1	0	0	0	50	0	[2B]	1	3
9	123456843	204	6	5	5	0	0	0	0	0	0	0	0	19	0	1	0	60	13	1	0	0	1	0	0	0	50	0	[2B]	1	3
10	123456843	180	0	0	0	24	4	7	5	0	0	0	0	19	0	0	1	115	13	1	3	0	1	0	0	0	50	0	[2B 1B 1C]	3	2
11	123456843	180	0	0	0	24	3	7	6	0	0	0	0	19	0	0	1	115	13	1	3	0	1	0	0	0	50	0	[2B 1B 1C]	3	2
12	123456843	180	0	0	0	24	3	7	6	0	0	0	0	19	0	0	1	115	13	1	3	0	1	0	0	0	50	0	[2B 1B 1C]	3	2
13	123456843	180	0	0	0	24	1	8	7	0	0	0	0	19	0	0	1	115	13	1	3	0	1	0	0	0	50	0	[2B 1B 1C]	3	2
14	123456843	180	0	0	0	24	0	9	7	0	0	0	0	19	0	0	1	115	13	1	3	0	1	0	0	0	50	0	[2B 1B 1C]	3	2
15	123456843	180	0	0	0	24	0	8	8	0	0	0	0	19	0	0	1	115	15	1	3	0	1	0	0	0	50	0	[2B 1B 1C]	3	2
16	123456843	180	0	0	0	24	0	6	10	0	0	0	0	19	0	0	1	115	15	1	3	0	1	0	0	0	50	0	[2B 1B 1C]	3	2
17	123456843	180	0	0	0	24	0	5	11	0	0	0	0	19	0	0	1	160	15	1	3	0	1	0	0	0	50	0	[2B 1B 1C]	3	2
18	123456843	180	0	0	0	24	0	5	11	0	0	0	0	19	0	0	1	160	15	1	3	0	1	0	0	0	50	0	[2B 1B 1C]	3	2
19	123456843	180	0	0	0	24	0	4	12	0	0	0	0	19	0	0	1	160	16	1	3	0	1	0	0	0	50	0	[2B 1B 1C]	3	2
20	123456843	180	0	0	0	24	0	4	12	0	0	0	0	19	0	0	1	160	19	1	3	0	1	0	0	0	50	0	[2B 1B 1C]	3	2
21	123456843	180	0	0	0	24	0	3	13	0	0	0	0	19	0	0	1	160	19	1	3	0	1	0	0	0	50	0	[2B 1B 1C]	3	2
22	123456843	199	0	0	1	24	0	3	13	0	0	0	0	0	0	0	0	160	19	1	3	0	1	0	0	0	50	0	[1B 1C]	2	2
23	123456843	199	0	0	1	24	0	3	13	0	0	0	0	0	0	0	0	160	19	1	3	0	1	0	0	0	50	0	[1B 1C]	2	2
24	123456843	223	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	220	20	1	3	0	1	0	0	0	50	0	[]	0	0
25	123456843	223	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	220	22	1	3	0	1	0	0	0	50	0	[]	0	0
26	123456843	223	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	220	23	1	3	0	1	0	0	0	50	0	[]	0	0
27	123456843	223	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	220	26	1	3	0	1	0	0	0	50	0	[]	0	0
