,day,agents,type,type_of_screening_pretty,group
0,0.0,240.0,Susceptible,Without screening,Susceptible
1,1.0,238.024,Susceptible,Without screening,Susceptible
2,2.0,236.9189,Susceptible,Without screening,Susceptible
3,3.0,235.6797,Susceptible,Without screening,Susceptible
4,4.0,234.3564,Susceptible,Without screening,Susceptible
5,5.0,232.9269,Susceptible,Without screening,Susceptible
6,6.0,232.5556,Susceptible,Without screening,Susceptible
7,7.0,232.1161,Susceptible,Without screening,Susceptible
8,8.0,230.4144,Susceptible,Without screening,Susceptible
9,9.0,228.6567,Susceptible,Without screening,Susceptible
10,10.0,226.8859,Susceptible,Without screening,Susceptible
11,11.0,225.1962,Susceptible,Without screening,Susceptible
12,12.0,223.3924,Susceptible,Without screening,Susceptible
13,13.0,223.1532,Susceptible,Without screening,Susceptible
14,14.0,222.8358,Susceptible,Without screening,Susceptible
15,15.0,221.046,Susceptible,Without screening,Susceptible
16,16.0,219.7818,Susceptible,Without screening,Susceptible
17,17.0,218.4685,Susceptible,Without screening,Susceptible
18,18.0,217.0501,Susceptible,Without screening,Susceptible
19,19.0,215.5896,Susceptible,Without screening,Susceptible
20,20.0,215.5836,Susceptible,Without screening,Susceptible
21,21.0,215.6416,Susceptible,Without screening,Susceptible
22,22.0,214.1952,Susceptible,Without screening,Susceptible
23,23.0,213.048,Susceptible,Without screening,Susceptible
24,24.0,211.7417,Susceptible,Without screening,Susceptible
25,25.0,210.4975,Susceptible,Without screening,Susceptible
26,26.0,209.3083,Susceptible,Without screening,Susceptible
27,27.0,209.2062,Susceptible,Without screening,Susceptible
28,28.0,209.1111,Susceptible,Without screening,Susceptible
29,29.0,207.991,Susceptible,Without screening,Susceptible
30,30.0,206.7467,Susceptible,Without screening,Susceptible
31,31.0,205.7297,Susceptible,Without screening,Susceptible
32,32.0,204.7668,Susceptible,Without screening,Susceptible
33,33.0,203.5085,Susceptible,Without screening,Susceptible
34,34.0,203.5405,Susceptible,Without screening,Susceptible
35,35.0,203.5956,Susceptible,Without screening,Susceptible
36,0.0,0.0,Susceptible in quarantine,Without screening,Susceptible
37,1.0,0.19019999999999998,Susceptible in quarantine,Without screening,Susceptible
38,2.0,0.4475,Susceptible in quarantine,Without screening,Susceptible
39,3.0,0.7578,Susceptible in quarantine,Without screening,Susceptible
40,4.0,1.0110000000000001,Susceptible in quarantine,Without screening,Susceptible
41,5.0,1.2222,Susceptible in quarantine,Without screening,Susceptible
42,6.0,1.5936,Susceptible in quarantine,Without screening,Susceptible
43,7.0,2.033,Susceptible in quarantine,Without screening,Susceptible
44,8.0,2.3623,Susceptible in quarantine,Without screening,Susceptible
45,9.0,2.7177,Susceptible in quarantine,Without screening,Susceptible
46,10.0,3.0641,Susceptible in quarantine,Without screening,Susceptible
47,11.0,3.3974,Susceptible in quarantine,Without screening,Susceptible
48,12.0,3.8539,Susceptible in quarantine,Without screening,Susceptible
49,13.0,4.0931,Susceptible in quarantine,Without screening,Susceptible
50,14.0,4.4104,Susceptible in quarantine,Without screening,Susceptible
51,15.0,4.7798,Susceptible in quarantine,Without screening,Susceptible
52,16.0,4.8248,Susceptible in quarantine,Without screening,Susceptible
53,17.0,4.8929,Susceptible in quarantine,Without screening,Susceptible
54,18.0,5.0511,Susceptible in quarantine,Without screening,Susceptible
55,19.0,5.1131,Susceptible in quarantine,Without screening,Susceptible
56,20.0,5.1192,Susceptible in quarantine,Without screening,Susceptible
57,21.0,5.0611,Susceptible in quarantine,Without screening,Susceptible
58,22.0,5.1431000000000004,Susceptible in quarantine,Without screening,Susceptible
59,23.0,5.0550999999999995,Susceptible in quarantine,Without screening,Susceptible
60,24.0,5.0751,Susceptible in quarantine,Without screening,Susceptible
61,25.0,5.0891,Susceptible in quarantine,Without screening,Susceptible
62,26.0,5.043,Susceptible in quarantine,Without screening,Susceptible
63,27.0,5.1452,Susceptible in quarantine,Without screening,Susceptible
64,28.0,5.2402,Susceptible in quarantine,Without screening,Susceptible
65,29.0,5.0141,Susceptible in quarantine,Without screening,Susceptible
66,30.0,5.046,Susceptible in quarantine,Without screening,Susceptible
67,31.0,4.9039,Susceptible in quarantine,Without screening,Susceptible
68,32.0,4.729699999999999,Susceptible in quarantine,Without screening,Susceptible
69,33.0,4.8339,Susceptible in quarantine,Without screening,Susceptible
70,34.0,4.8019,Susceptible in quarantine,Without screening,Susceptible
71,35.0,4.7467999999999995,Susceptible in quarantine,Without screening,Susceptible
72,0.0,0.0,Exposed,Without screening,Exposed
73,1.0,0.7858,Exposed,Without screening,Exposed
74,2.0,1.4194,Exposed,Without screening,Exposed
75,3.0,1.9379,Exposed,Without screening,Exposed
76,4.0,2.4494,Exposed,Without screening,Exposed
77,5.0,2.951,Exposed,Without screening,Exposed
78,6.0,2.0631,Exposed,Without screening,Exposed
79,7.0,1.4424,Exposed,Without screening,Exposed
80,8.0,2.3684,Exposed,Without screening,Exposed
81,9.0,2.985,Exposed,Without screening,Exposed
82,10.0,3.4735,Exposed,Without screening,Exposed
83,11.0,3.7217,Exposed,Without screening,Exposed
84,12.0,3.8579,Exposed,Without screening,Exposed
85,13.0,2.6937,Exposed,Without screening,Exposed
86,14.0,1.8208,Exposed,Without screening,Exposed
87,15.0,2.6887,Exposed,Without screening,Exposed
88,16.0,3.0671,Exposed,Without screening,Exposed
89,17.0,3.2743,Exposed,Without screening,Exposed
90,18.0,3.4965,Exposed,Without screening,Exposed
91,19.0,3.7998,Exposed,Without screening,Exposed
92,20.0,2.5856,Exposed,Without screening,Exposed
93,21.0,1.7608,Exposed,Without screening,Exposed
94,22.0,2.5265,Exposed,Without screening,Exposed
95,23.0,2.965,Exposed,Without screening,Exposed
96,24.0,3.3704,Exposed,Without screening,Exposed
97,25.0,3.5195,Exposed,Without screening,Exposed
98,26.0,3.5816,Exposed,Without screening,Exposed
99,27.0,2.4284,Exposed,Without screening,Exposed
100,28.0,1.6056,Exposed,Without screening,Exposed
101,29.0,2.4354,Exposed,Without screening,Exposed
102,30.0,2.8889,Exposed,Without screening,Exposed
103,31.0,3.1221,Exposed,Without screening,Exposed
104,32.0,3.3113,Exposed,Without screening,Exposed
105,33.0,3.4414,Exposed,Without screening,Exposed
106,34.0,2.3333,Exposed,Without screening,Exposed
107,35.0,1.5616,Exposed,Without screening,Exposed
108,0.0,0.0,Exposed in quarantine,Without screening,Exposed
109,1.0,0.0,Exposed in quarantine,Without screening,Exposed
110,2.0,0.006,Exposed in quarantine,Without screening,Exposed
111,3.0,0.019,Exposed in quarantine,Without screening,Exposed
112,4.0,0.03,Exposed in quarantine,Without screening,Exposed
113,5.0,0.062,Exposed in quarantine,Without screening,Exposed
114,6.0,0.1172,Exposed in quarantine,Without screening,Exposed
115,7.0,0.1412,Exposed in quarantine,Without screening,Exposed
116,8.0,0.1262,Exposed in quarantine,Without screening,Exposed
117,9.0,0.1622,Exposed in quarantine,Without screening,Exposed
118,10.0,0.1652,Exposed in quarantine,Without screening,Exposed
119,11.0,0.2142,Exposed in quarantine,Without screening,Exposed
120,12.0,0.2903,Exposed in quarantine,Without screening,Exposed
121,13.0,0.3143,Exposed in quarantine,Without screening,Exposed
122,14.0,0.2953,Exposed in quarantine,Without screening,Exposed
123,15.0,0.2753,Exposed in quarantine,Without screening,Exposed
124,16.0,0.2593,Exposed in quarantine,Without screening,Exposed
125,17.0,0.3383,Exposed in quarantine,Without screening,Exposed
126,18.0,0.3553,Exposed in quarantine,Without screening,Exposed
127,19.0,0.3503,Exposed in quarantine,Without screening,Exposed
128,20.0,0.3543,Exposed in quarantine,Without screening,Exposed
129,21.0,0.3423,Exposed in quarantine,Without screening,Exposed
130,22.0,0.2903,Exposed in quarantine,Without screening,Exposed
131,23.0,0.2853,Exposed in quarantine,Without screening,Exposed
132,24.0,0.2783,Exposed in quarantine,Without screening,Exposed
133,25.0,0.2823,Exposed in quarantine,Without screening,Exposed
134,26.0,0.3353,Exposed in quarantine,Without screening,Exposed
135,27.0,0.3593,Exposed in quarantine,Without screening,Exposed
136,28.0,0.3713,Exposed in quarantine,Without screening,Exposed
137,29.0,0.32430000000000003,Exposed in quarantine,Without screening,Exposed
138,30.0,0.2983,Exposed in quarantine,Without screening,Exposed
139,31.0,0.2683,Exposed in quarantine,Without screening,Exposed
140,32.0,0.25229999999999997,Exposed in quarantine,Without screening,Exposed
141,33.0,0.2923,Exposed in quarantine,Without screening,Exposed
142,34.0,0.3083,Exposed in quarantine,Without screening,Exposed
143,35.0,0.3073,Exposed in quarantine,Without screening,Exposed
144,0.0,0.0,Infected,Without screening,Infected
145,1.0,0.99,Infected,Without screening,Infected
146,2.0,1.0521,Infected,Without screening,Infected
147,3.0,1.2743,Infected,Without screening,Infected
148,4.0,1.5946,Infected,Without screening,Infected
149,5.0,1.988,Infected,Without screening,Infected
150,6.0,2.4114,Infected,Without screening,Infected
151,7.0,2.5275,Infected,Without screening,Infected
152,8.0,2.5475,Infected,Without screening,Infected
153,9.0,2.7838,Infected,Without screening,Infected
154,10.0,3.2062,Infected,Without screening,Infected
155,11.0,3.6246,Infected,Without screening,Infected
156,12.0,3.9149,Infected,Without screening,Infected
157,13.0,4.1992,Infected,Without screening,Infected
158,14.0,4.2132,Infected,Without screening,Infected
159,15.0,3.8539,Infected,Without screening,Infected
160,16.0,3.9249,Infected,Without screening,Infected
161,17.0,3.976,Infected,Without screening,Infected
162,18.0,4.004,Infected,Without screening,Infected
163,19.0,4.1802,Infected,Without screening,Infected
164,20.0,4.3804,Infected,Without screening,Infected
165,21.0,4.2953,Infected,Without screening,Infected
166,22.0,3.954,Infected,Without screening,Infected
167,23.0,4.013,Infected,Without screening,Infected
168,24.0,4.0651,Infected,Without screening,Infected
169,25.0,4.2422,Infected,Without screening,Infected
170,26.0,4.4885,Infected,Without screening,Infected
171,27.0,4.6216,Infected,Without screening,Infected
172,28.0,4.3654,Infected,Without screening,Infected
173,29.0,4.009,Infected,Without screening,Infected
174,30.0,3.959,Infected,Without screening,Infected
175,31.0,4.0931,Infected,Without screening,Infected
176,32.0,4.2172,Infected,Without screening,Infected
177,33.0,4.2673,Infected,Without screening,Infected
178,34.0,4.4104,Infected,Without screening,Infected
179,35.0,4.1952,Infected,Without screening,Infected
180,0.0,0.0,Infected in quarantine,Without screening,Infected
181,1.0,0.01,Infected in quarantine,Without screening,Infected
182,2.0,0.027,Infected in quarantine,Without screening,Infected
183,3.0,0.06,Infected in quarantine,Without screening,Infected
184,4.0,0.0991,Infected in quarantine,Without screening,Infected
185,5.0,0.1592,Infected in quarantine,Without screening,Infected
186,6.0,0.2612,Infected in quarantine,Without screening,Infected
187,7.0,0.4034,Infected in quarantine,Without screening,Infected
188,8.0,0.4645,Infected in quarantine,Without screening,Infected
189,9.0,0.5766,Infected in quarantine,Without screening,Infected
190,10.0,0.6496,Infected in quarantine,Without screening,Infected
191,11.0,0.7837,Infected in quarantine,Without screening,Infected
192,12.0,1.0891,Infected in quarantine,Without screening,Infected
193,13.0,1.2783,Infected in quarantine,Without screening,Infected
194,14.0,1.4245,Infected in quarantine,Without screening,Infected
195,15.0,1.5916,Infected in quarantine,Without screening,Infected
196,16.0,1.6456,Infected in quarantine,Without screening,Infected
197,17.0,1.8238,Infected in quarantine,Without screening,Infected
198,18.0,1.9569,Infected in quarantine,Without screening,Infected
199,19.0,2.0401,Infected in quarantine,Without screening,Infected
200,20.0,2.1681999999999997,Infected in quarantine,Without screening,Infected
201,21.0,2.1761999999999997,Infected in quarantine,Without screening,Infected
202,22.0,2.2682,Infected in quarantine,Without screening,Infected
203,23.0,2.1732,Infected in quarantine,Without screening,Infected
204,24.0,2.1862,Infected in quarantine,Without screening,Infected
205,25.0,2.1942,Infected in quarantine,Without screening,Infected
206,26.0,2.2122,Infected in quarantine,Without screening,Infected
207,27.0,2.1921999999999997,Infected in quarantine,Without screening,Infected
208,28.0,2.2963,Infected in quarantine,Without screening,Infected
209,29.0,2.2643,Infected in quarantine,Without screening,Infected
210,30.0,2.2082,Infected in quarantine,Without screening,Infected
211,31.0,2.1281,Infected in quarantine,Without screening,Infected
212,32.0,2.0801,Infected in quarantine,Without screening,Infected
213,33.0,2.1250999999999998,Infected in quarantine,Without screening,Infected
214,34.0,2.0601,Infected in quarantine,Without screening,Infected
215,35.0,2.1171,Infected in quarantine,Without screening,Infected
216,0.0,0.0,Removed,Without screening,Removed
217,1.0,0.0,Removed,Without screening,Removed
218,2.0,0.1291,Removed,Without screening,Removed
219,3.0,0.2673,Removed,Without screening,Removed
220,4.0,0.4384,Removed,Without screening,Removed
221,5.0,0.6527,Removed,Without screening,Removed
222,6.0,0.9079,Removed,Without screening,Removed
223,7.0,1.1712,Removed,Without screening,Removed
224,8.0,1.4665,Removed,Without screening,Removed
225,9.0,1.7307,Removed,Without screening,Removed
226,10.0,2.01,Removed,Without screening,Removed
227,11.0,2.3524,Removed,Without screening,Removed
228,12.0,2.6086,Removed,Without screening,Removed
229,13.0,2.967,Removed,Without screening,Removed
230,14.0,3.3624,Removed,Without screening,Removed
231,15.0,3.7227,Removed,Without screening,Removed
232,16.0,4.0971,Removed,Without screening,Removed
233,17.0,4.3313,Removed,Without screening,Removed
234,18.0,4.7187,Removed,Without screening,Removed
235,19.0,5.1992,Removed,Without screening,Removed
236,20.0,5.6386,Removed,Without screening,Removed
237,21.0,6.2703,Removed,Without screening,Removed
238,22.0,6.6116,Removed,Without screening,Removed
239,23.0,7.2212,Removed,Without screening,Removed
240,24.0,7.6897,Removed,Without screening,Removed
241,25.0,8.4074,Removed,Without screening,Removed
242,26.0,9.2683,Removed,Without screening,Removed
243,27.0,10.1902,Removed,Without screening,Removed
244,28.0,10.7838,Removed,Without screening,Removed
245,29.0,11.6106,Removed,Without screening,Removed
246,30.0,12.2513,Removed,Without screening,Removed
247,31.0,13.3614,Removed,Without screening,Removed
248,32.0,14.3714,Removed,Without screening,Removed
249,33.0,15.0891,Removed,Without screening,Removed
250,34.0,16.2222,Removed,Without screening,Removed
251,35.0,16.9339,Removed,Without screening,Removed
252,0.0,0.0,Removed in quarantine,Without screening,Removed
253,1.0,0.0,Removed in quarantine,Without screening,Removed
254,2.0,0.0,Removed in quarantine,Without screening,Removed
255,3.0,0.004,Removed in quarantine,Without screening,Removed
256,4.0,0.020999999999999998,Removed in quarantine,Without screening,Removed
257,5.0,0.038,Removed in quarantine,Without screening,Removed
258,6.0,0.09,Removed in quarantine,Without screening,Removed
259,7.0,0.1652,Removed in quarantine,Without screening,Removed
260,8.0,0.2502,Removed in quarantine,Without screening,Removed
261,9.0,0.38739999999999997,Removed in quarantine,Without screening,Removed
262,10.0,0.5455,Removed in quarantine,Without screening,Removed
263,11.0,0.7098,Removed in quarantine,Without screening,Removed
264,12.0,0.9929999999999999,Removed in quarantine,Without screening,Removed
265,13.0,1.3013,Removed in quarantine,Without screening,Removed
266,14.0,1.6376,Removed in quarantine,Without screening,Removed
267,15.0,2.0421,Removed in quarantine,Without screening,Removed
268,16.0,2.3994,Removed in quarantine,Without screening,Removed
269,17.0,2.8949,Removed in quarantine,Without screening,Removed
270,18.0,3.3673,Removed in quarantine,Without screening,Removed
271,19.0,3.7277000000000005,Removed in quarantine,Without screening,Removed
272,20.0,4.1702,Removed in quarantine,Without screening,Removed
273,21.0,4.4524,Removed in quarantine,Without screening,Removed
274,22.0,5.011,Removed in quarantine,Without screening,Removed
275,23.0,5.2392,Removed in quarantine,Without screening,Removed
276,24.0,5.5936,Removed in quarantine,Without screening,Removed
277,25.0,5.7678,Removed in quarantine,Without screening,Removed
278,26.0,5.7628,Removed in quarantine,Without screening,Removed
279,27.0,5.8568,Removed in quarantine,Without screening,Removed
280,28.0,6.2263,Removed in quarantine,Without screening,Removed
281,29.0,6.3513,Removed in quarantine,Without screening,Removed
282,30.0,6.6016,Removed in quarantine,Without screening,Removed
283,31.0,6.3934,Removed in quarantine,Without screening,Removed
284,32.0,6.2713,Removed in quarantine,Without screening,Removed
285,33.0,6.4424,Removed in quarantine,Without screening,Removed
286,34.0,6.3233,Removed in quarantine,Without screening,Removed
287,35.0,6.5425,Removed in quarantine,Without screening,Removed
288,0.0,240.0,Susceptible,Screening 25%,Susceptible
289,1.0,237.5511,Susceptible,Screening 25%,Susceptible
290,2.0,236.3652,Susceptible,Screening 25%,Susceptible
291,3.0,234.866,Susceptible,Screening 25%,Susceptible
292,4.0,233.526,Susceptible,Screening 25%,Susceptible
293,5.0,232.0921,Susceptible,Screening 25%,Susceptible
294,6.0,231.9414,Susceptible,Screening 25%,Susceptible
295,7.0,231.6097,Susceptible,Screening 25%,Susceptible
296,8.0,229.1491,Susceptible,Screening 25%,Susceptible
297,9.0,227.1826,Susceptible,Screening 25%,Susceptible
298,10.0,225.2161,Susceptible,Screening 25%,Susceptible
299,11.0,223.9179,Susceptible,Screening 25%,Susceptible
300,12.0,222.4958,Susceptible,Screening 25%,Susceptible
301,13.0,222.1457,Susceptible,Screening 25%,Susceptible
302,14.0,221.8141,Susceptible,Screening 25%,Susceptible
303,15.0,220.7806,Susceptible,Screening 25%,Susceptible
304,16.0,219.7219,Susceptible,Screening 25%,Susceptible
305,17.0,219.0921,Susceptible,Screening 25%,Susceptible
306,18.0,218.3417,Susceptible,Screening 25%,Susceptible
307,19.0,217.4673,Susceptible,Screening 25%,Susceptible
308,20.0,217.4422,Susceptible,Screening 25%,Susceptible
309,21.0,217.6265,Susceptible,Screening 25%,Susceptible
310,22.0,217.1876,Susceptible,Screening 25%,Susceptible
311,23.0,216.7722,Susceptible,Screening 25%,Susceptible
312,24.0,216.4355,Susceptible,Screening 25%,Susceptible
313,25.0,215.6717,Susceptible,Screening 25%,Susceptible
314,26.0,215.0888,Susceptible,Screening 25%,Susceptible
315,27.0,215.2512,Susceptible,Screening 25%,Susceptible
316,28.0,215.2546,Susceptible,Screening 25%,Susceptible
317,29.0,214.6298,Susceptible,Screening 25%,Susceptible
318,30.0,214.1005,Susceptible,Screening 25%,Susceptible
319,31.0,213.6767,Susceptible,Screening 25%,Susceptible
320,32.0,213.1725,Susceptible,Screening 25%,Susceptible
321,33.0,212.5226,Susceptible,Screening 25%,Susceptible
322,34.0,212.541,Susceptible,Screening 25%,Susceptible
323,35.0,212.5092,Susceptible,Screening 25%,Susceptible
324,0.0,0.0,Susceptible in quarantine,Screening 25%,Susceptible
325,1.0,0.6683,Susceptible in quarantine,Screening 25%,Susceptible
326,2.0,1.1909,Susceptible in quarantine,Screening 25%,Susceptible
327,3.0,1.9163,Susceptible in quarantine,Screening 25%,Susceptible
328,4.0,2.1994,Susceptible in quarantine,Screening 25%,Susceptible
329,5.0,2.4556,Susceptible in quarantine,Screening 25%,Susceptible
330,6.0,2.6063,Susceptible in quarantine,Screening 25%,Susceptible
331,7.0,2.9379999999999997,Susceptible in quarantine,Screening 25%,Susceptible
332,8.0,4.1592,Susceptible in quarantine,Screening 25%,Susceptible
333,9.0,5.072100000000001,Susceptible in quarantine,Screening 25%,Susceptible
334,10.0,6.0804,Susceptible in quarantine,Screening 25%,Susceptible
335,11.0,6.400399999999999,Susceptible in quarantine,Screening 25%,Susceptible
336,12.0,6.8426,Susceptible in quarantine,Screening 25%,Susceptible
337,13.0,7.1926000000000005,Susceptible in quarantine,Screening 25%,Susceptible
338,14.0,7.5242,Susceptible in quarantine,Screening 25%,Susceptible
339,15.0,7.5528,Susceptible in quarantine,Screening 25%,Susceptible
340,16.0,7.792300000000001,Susceptible in quarantine,Screening 25%,Susceptible
341,17.0,7.613,Susceptible in quarantine,Screening 25%,Susceptible
342,18.0,7.579599999999999,Susceptible in quarantine,Screening 25%,Susceptible
343,19.0,7.5426,Susceptible in quarantine,Screening 25%,Susceptible
344,20.0,7.5678,Susceptible in quarantine,Screening 25%,Susceptible
345,21.0,7.3835999999999995,Susceptible in quarantine,Screening 25%,Susceptible
346,22.0,6.8995,Susceptible in quarantine,Screening 25%,Susceptible
347,23.0,6.5527,Susceptible in quarantine,Screening 25%,Susceptible
348,24.0,6.0067,Susceptible in quarantine,Screening 25%,Susceptible
349,25.0,5.9883,Susceptible in quarantine,Screening 25%,Susceptible
350,26.0,5.9028,Susceptible in quarantine,Screening 25%,Susceptible
351,27.0,5.7404,Susceptible in quarantine,Screening 25%,Susceptible
352,28.0,5.737,Susceptible in quarantine,Screening 25%,Susceptible
353,29.0,5.696899999999999,Susceptible in quarantine,Screening 25%,Susceptible
354,30.0,5.614800000000001,Susceptible in quarantine,Screening 25%,Susceptible
355,31.0,5.5059,Susceptible in quarantine,Screening 25%,Susceptible
356,32.0,5.4841,Susceptible in quarantine,Screening 25%,Susceptible
357,33.0,5.598,Susceptible in quarantine,Screening 25%,Susceptible
358,34.0,5.5796,Susceptible in quarantine,Screening 25%,Susceptible
359,35.0,5.6114,Susceptible in quarantine,Screening 25%,Susceptible
360,0.0,0.0,Exposed,Screening 25%,Exposed
361,1.0,0.7806,Exposed,Screening 25%,Exposed
362,2.0,1.2445,Exposed,Screening 25%,Exposed
363,3.0,1.6348,Exposed,Screening 25%,Exposed
364,4.0,2.1726,Exposed,Screening 25%,Exposed
365,5.0,2.7387,Exposed,Screening 25%,Exposed
366,6.0,1.9615,Exposed,Screening 25%,Exposed
367,7.0,1.3668,Exposed,Screening 25%,Exposed
368,8.0,2.0636,Exposed,Screening 25%,Exposed
369,9.0,2.4204,Exposed,Screening 25%,Exposed
370,10.0,2.4908,Exposed,Screening 25%,Exposed
371,11.0,2.6382,Exposed,Screening 25%,Exposed
372,12.0,2.7504,Exposed,Screening 25%,Exposed
373,13.0,1.8543,Exposed,Screening 25%,Exposed
374,14.0,1.2345,Exposed,Screening 25%,Exposed
375,15.0,1.7387,Exposed,Screening 25%,Exposed
376,16.0,1.8878,Exposed,Screening 25%,Exposed
377,17.0,2.0486,Exposed,Screening 25%,Exposed
378,18.0,2.1206,Exposed,Screening 25%,Exposed
379,19.0,2.3015,Exposed,Screening 25%,Exposed
380,20.0,1.6717,Exposed,Screening 25%,Exposed
381,21.0,1.1759,Exposed,Screening 25%,Exposed
382,22.0,1.6332,Exposed,Screening 25%,Exposed
383,23.0,1.8174,Exposed,Screening 25%,Exposed
384,24.0,2.0335,Exposed,Screening 25%,Exposed
385,25.0,2.1675,Exposed,Screening 25%,Exposed
386,26.0,2.1022,Exposed,Screening 25%,Exposed
387,27.0,1.3886,Exposed,Screening 25%,Exposed
388,28.0,0.9682,Exposed,Screening 25%,Exposed
389,29.0,1.2914,Exposed,Screening 25%,Exposed
390,30.0,1.402,Exposed,Screening 25%,Exposed
391,31.0,1.3735,Exposed,Screening 25%,Exposed
392,32.0,1.4188,Exposed,Screening 25%,Exposed
393,33.0,1.5075,Exposed,Screening 25%,Exposed
394,34.0,1.067,Exposed,Screening 25%,Exposed
395,35.0,0.7487,Exposed,Screening 25%,Exposed
396,0.0,0.0,Exposed in quarantine,Screening 25%,Exposed
397,1.0,0.0,Exposed in quarantine,Screening 25%,Exposed
398,2.0,0.0084,Exposed in quarantine,Screening 25%,Exposed
399,3.0,0.0318,Exposed in quarantine,Screening 25%,Exposed
400,4.0,0.0402,Exposed in quarantine,Screening 25%,Exposed
401,5.0,0.0922,Exposed in quarantine,Screening 25%,Exposed
