day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-vaccinated-susceptible-in-quarantine	num-vaccinated-exposed-in-quarantine	num-vaccinated-infected-in-quarantine	num-vaccinated-removed-in-quarantine	num-vaccinated-susceptible-in-quarantine-external-1	num-vaccinated-exposed-in-quarantine-external-1	num-vaccinated-infected-in-quarantine-external-1	num-vaccinated-removed-in-quarantine-external-1	num-vaccinated-susceptible-in-quarantine-external-2	num-vaccinated-exposed-in-quarantine-external-2	num-vaccinated-infected-in-quarantine-external-2	num-vaccinated-removed-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457619	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
1	123457619	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	1	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
2	123457619	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	1	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
3	123457619	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	3	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
4	123457619	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	4	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
5	123457619	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	4	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
6	123457619	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	4	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
7	123457619	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	4	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	0
8	123457619	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	4	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	0
9	123457619	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	120	5	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	1
10	123457619	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	120	5	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	1
11	123457619	237	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	120	6	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	1
12	123457619	236	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	120	7	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	1
13	123457619	236	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	120	7	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	1
14	123457619	236	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	120	7	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	1
15	123457619	220	0	0	0	16	0	3	1	0	0	0	0	0	0	0	0	180	8	0	2	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	[3A]	1	1
16	123457619	220	0	0	0	16	0	3	1	0	0	0	0	0	0	0	0	180	9	0	2	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	[3A]	1	1
17	123457619	220	0	0	0	16	0	2	2	0	0	0	0	0	0	0	0	180	9	0	2	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	[3A]	1	1
18	123457619	220	0	0	0	16	0	0	4	0	0	0	0	0	0	0	0	180	9	0	2	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	[3A]	1	0
19	123457619	220	0	0	0	16	0	0	4	0	0	0	0	0	0	0	0	180	11	0	2	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	[3A]	1	0
20	123457619	220	0	0	0	16	0	0	4	0	0	0	0	0	0	0	0	180	13	0	2	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	[3A]	1	0
21	123457619	220	0	0	0	16	0	0	4	0	0	0	0	0	0	0	0	180	14	0	2	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	[3A]	1	0
22	123457619	220	0	0	0	16	0	0	4	0	0	0	0	0	0	0	0	235	15	0	2	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	[3A]	1	0
23	123457619	219	1	0	0	16	0	0	4	0	0	0	0	0	0	0	0	235	16	0	2	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	[3A]	1	0
24	123457619	218	1	1	0	16	0	0	4	0	0	0	0	0	0	0	0	235	17	0	2	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	[3A]	1	1
25	123457619	217	2	1	0	16	0	0	4	0	0	0	0	0	0	0	0	235	17	0	2	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	[3A]	1	1
