day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456962	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	0
1	123456962	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	1
2	123456962	238	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	50	0	0	0	0	[]	0	1
3	123456962	238	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	50	0	0	0	0	[]	0	1
4	123456962	237	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	50	0	0	0	0	[]	0	1
5	123456962	237	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	50	0	0	0	0	[]	0	0
6	123456962	237	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	50	0	0	0	0	[]	0	0
7	123456962	237	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	50	0	0	0	0	[]	0	0
8	123456962	237	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	50	0	0	0	0	[]	0	0
9	123456962	235	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	50	0	0	0	0	[]	0	1
10	123456962	235	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	50	0	0	0	0	[]	0	1
11	123456962	220	0	0	0	15	1	2	2	0	0	0	0	0	0	0	0	120	0	0	1	0	0	50	0	0	0	0	[3A]	1	1
12	123456962	220	0	0	0	15	1	2	2	0	0	0	0	0	0	0	0	120	0	0	1	0	0	50	0	0	0	0	[3A]	1	1
13	123456962	220	0	0	0	15	1	2	2	0	0	0	0	0	0	0	0	120	0	0	1	0	0	50	0	0	0	0	[3A]	1	1
14	123456962	220	0	0	0	15	0	3	2	0	0	0	0	0	0	0	0	120	0	0	1	0	0	50	0	0	0	0	[3A]	1	1
15	123456962	220	0	0	0	15	0	3	2	0	0	0	0	0	0	0	0	120	0	0	1	0	0	50	0	0	0	0	[3A]	1	1
16	123456962	220	0	0	0	15	0	1	4	0	0	0	0	0	0	0	0	153	0	0	1	0	0	50	0	0	0	0	[3A]	1	1
17	123456962	220	0	0	0	15	0	1	4	0	0	0	0	0	0	0	0	153	0	0	1	0	0	50	0	0	0	0	[3A]	1	1
18	123456962	220	0	0	0	15	0	1	4	0	0	0	0	0	0	0	0	175	0	0	1	0	0	50	0	0	0	0	[3A]	1	1
19	123456962	220	0	0	0	15	0	1	4	0	0	0	0	0	0	0	0	175	0	0	1	0	0	50	0	0	0	0	[3A]	1	1
20	123456962	220	0	0	0	15	0	1	4	0	0	0	0	0	0	0	0	175	0	0	1	0	0	50	0	0	0	0	[3A]	1	1
21	123456962	220	0	0	0	15	0	1	4	0	0	0	0	0	0	0	0	175	0	0	1	0	0	50	0	0	0	0	[3A]	1	1
22	123456962	220	0	0	0	15	0	1	4	0	0	0	0	0	0	0	0	175	0	0	1	0	0	50	0	0	0	0	[3A]	1	1
23	123456962	220	0	0	0	15	0	1	4	0	0	0	0	0	0	0	0	208	0	0	1	0	0	50	0	0	0	0	[3A]	1	1
24	123456962	220	0	0	0	15	0	1	4	0	0	0	0	0	0	0	0	208	0	0	1	0	0	50	0	0	0	0	[3A]	1	1
25	123456962	235	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	1	0	0	50	0	0	0	0	[]	0	0
26	123456962	235	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	1	0	0	50	0	0	0	0	[]	0	0
27	123456962	235	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	1	0	0	50	0	0	0	0	[]	0	0
28	123456962	235	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	1	0	0	50	0	0	0	0	[]	0	0
29	123456962	235	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	1	0	0	50	0	0	0	0	[]	0	0
30	123456962	235	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	268	0	0	1	0	0	50	0	0	0	0	[]	0	0
31	123456962	235	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	268	0	0	1	0	0	50	0	0	0	0	[]	0	0
32	123456962	235	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	292	0	0	1	0	0	50	0	0	0	0	[]	0	0
33	123456962	235	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	292	0	0	1	0	0	50	0	0	0	0	[]	0	0
34	123456962	235	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	292	0	0	1	0	0	50	0	0	0	0	[]	0	0
35	123456962	235	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	292	0	0	1	0	0	50	0	0	0	0	[]	0	0
