day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated	num-immunized	num-immunized-in-quarantine	num-immunized-in-quarantine-external-1	num-immunized-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456970	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	146	0	0	0	0	[]	0	0
1	123456970	133	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	146	0	0	0	11	[]	0	0
2	123456970	121	20	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	146	146	0	0	0	19	[]	0	3
3	123456970	104	31	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	146	146	0	0	0	29	[]	0	5
4	123456970	84	40	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	146	146	0	0	0	36	[]	0	8
5	123456970	68	47	22	6	0	0	0	0	0	0	0	0	0	0	1	0	19	5	1	0	0	1	146	146	0	0	0	40	[]	0	10
6	123456970	68	37	27	11	0	0	0	0	0	0	0	0	0	0	0	1	19	6	1	0	0	1	146	146	0	0	0	40	[]	0	9
7	123456970	64	24	31	12	3	2	6	0	0	0	0	0	0	0	1	1	38	8	2	6	0	2	146	138	8	0	0	41	[1B]	1	9
8	123456970	56	22	22	15	4	2	13	6	0	0	0	0	0	0	3	1	76	10	4	14	0	4	146	130	16	0	0	43	[1B 3A]	2	9
9	123456970	50	24	12	20	4	2	19	6	0	0	1	0	0	0	5	1	133	12	6	20	1	6	146	130	16	0	0	47	[1B 3A]	2	10
10	123456970	39	26	17	22	4	1	19	9	0	0	1	0	0	0	5	1	152	13	6	22	1	6	146	130	16	0	0	51	[1B 3A]	2	11
