day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456940	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456940	237	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	1
2	123456940	235	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	50	0	[]	0	1
3	123456940	234	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	50	0	[]	0	1
4	123456940	233	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	50	0	[]	0	1
5	123456940	231	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	24	6	0	0	0	0	0	0	0	50	0	[]	0	1
6	123456940	231	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	24	6	0	0	0	0	0	0	0	50	0	[]	0	1
7	123456940	231	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	24	7	0	0	0	0	0	0	0	50	0	[]	0	1
8	123456940	229	6	4	1	0	0	0	0	0	0	0	0	0	0	0	0	24	9	0	0	0	0	0	0	0	50	0	[]	0	1
9	123456940	227	6	5	2	0	0	0	0	0	0	0	0	0	0	0	0	24	9	0	0	0	0	0	0	0	50	0	[]	0	1
10	123456940	220	0	0	0	0	0	0	0	0	0	0	0	7	4	7	2	24	11	1	0	0	1	0	0	0	50	0	[2B]	1	1
11	123456940	220	0	0	0	0	0	0	0	0	0	0	0	7	3	8	2	24	11	1	0	0	1	0	0	0	50	0	[2B]	1	1
12	123456940	220	0	0	0	0	0	0	0	0	0	0	0	7	3	7	3	46	12	1	0	0	1	0	0	0	50	0	[2B]	1	1
13	123456940	220	0	0	0	0	0	0	0	0	0	0	0	7	2	7	4	46	12	1	0	0	1	0	0	0	50	0	[2B]	1	1
14	123456940	220	0	0	0	0	0	0	0	0	0	0	0	7	2	6	5	46	12	1	0	0	1	0	0	0	50	0	[2B]	1	1
15	123456940	220	0	0	0	0	0	0	0	0	0	0	0	7	0	7	6	46	12	1	0	0	1	0	0	0	50	0	[2B]	1	1
16	123456940	220	0	0	0	0	0	0	0	0	0	0	0	7	0	6	7	46	12	1	0	0	1	0	0	0	50	0	[2B]	1	1
17	123456940	220	0	0	0	0	0	0	0	0	0	0	0	7	0	6	7	46	14	1	0	0	1	0	0	0	50	0	[2B]	1	1
18	123456940	220	0	0	0	0	0	0	0	0	0	0	0	7	0	6	7	46	14	1	0	0	1	0	0	0	50	0	[2B]	1	1
19	123456940	220	0	0	0	0	0	0	0	0	0	0	0	7	0	6	7	57	15	1	0	0	1	0	0	0	50	0	[2B]	1	1
20	123456940	220	0	0	0	0	0	0	0	0	0	0	0	7	0	4	9	57	15	1	0	0	1	0	0	0	50	0	[2B]	1	1
21	123456940	220	0	0	0	0	0	0	0	0	0	0	0	7	0	4	9	57	15	1	0	0	1	0	0	0	50	0	[2B]	1	1
22	123456940	220	0	0	0	0	0	0	0	0	0	0	0	7	0	4	9	57	16	1	0	0	1	0	0	0	50	0	[2B]	1	1
23	123456940	220	0	0	0	0	0	0	0	0	0	0	0	7	0	4	9	57	17	1	0	0	1	0	0	0	50	0	[2B]	1	1
24	123456940	227	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	57	18	1	0	0	1	0	0	0	50	0	[]	0	0
25	123456940	227	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	57	18	1	0	0	1	0	0	0	50	0	[]	0	0
26	123456940	227	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	69	19	1	0	0	1	0	0	0	50	0	[]	0	0
27	123456940	227	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	69	22	1	0	0	1	0	0	0	50	0	[]	0	0
28	123456940	227	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	69	22	1	0	0	1	0	0	0	50	0	[]	0	0
29	123456940	227	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	69	23	1	0	0	1	0	0	0	50	0	[]	0	0
30	123456940	227	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	69	23	1	0	0	1	0	0	0	50	0	[]	0	0
31	123456940	227	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	69	25	1	0	0	1	0	0	0	50	0	[]	0	0
32	123456940	227	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	69	26	1	0	0	1	0	0	0	50	0	[]	0	0
33	123456940	227	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	81	27	1	0	0	1	0	0	0	50	0	[]	0	0
34	123456940	227	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	81	27	1	0	0	1	0	0	0	50	0	[]	0	0
35	123456940	227	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	81	27	1	0	0	1	0	0	0	50	0	[]	0	0
