day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456790	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
1	123456790	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	1
2	123456790	237	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	1
3	123456790	236	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	[]	0	1
4	123456790	234	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	[]	0	1
5	123456790	231	6	2	1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	[]	0	1
6	123456790	231	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	[]	0	1
7	123456790	231	2	6	1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	[]	0	1
8	123456790	228	4	7	1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	[]	0	1
9	123456790	224	5	10	1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	[]	0	2
10	123456790	220	7	11	2	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	[]	0	2
11	123456790	217	8	11	4	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	[]	0	2
12	123456790	212	10	12	6	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	[]	0	2
13	123456790	212	6	16	6	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	[]	0	2
14	123456790	212	6	14	8	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	[]	0	2
15	123456790	207	11	13	9	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	[]	0	2
16	123456790	205	9	15	11	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	[]	0	2
17	123456790	201	10	16	13	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	[]	0	3
18	123456790	197	12	17	14	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	[]	0	4
19	123456790	192	9	8	11	3	2	9	6	0	0	0	0	0	0	0	0	48	0	0	1	0	0	0	[2C]	1	4
20	123456790	192	7	10	11	3	2	8	7	0	0	0	0	0	0	0	0	48	0	0	1	0	0	0	[2C]	1	4
21	123456790	192	4	11	13	3	2	6	9	0	0	0	0	0	0	0	0	48	0	0	1	0	0	0	[2C]	1	5
22	123456790	189	6	12	13	3	2	5	10	0	0	0	0	0	0	0	0	48	0	0	1	0	0	0	[2C]	1	5
23	123456790	186	8	13	13	3	2	5	10	0	0	0	0	0	0	0	0	48	0	0	1	0	0	0	[2C]	1	5
24	123456790	180	12	11	17	3	2	4	11	0	0	0	0	0	0	0	0	59	0	0	1	0	0	0	[2C]	1	5
25	123456790	175	12	14	19	3	2	4	11	0	0	0	0	0	0	0	0	59	0	0	1	0	0	0	[2C]	1	5
26	123456790	168	16	16	20	3	1	5	11	0	0	0	0	0	0	0	0	59	0	0	1	0	0	0	[2C]	1	5
27	123456790	168	14	16	22	3	0	6	11	0	0	0	0	0	0	0	0	59	0	0	1	0	0	0	[2C]	1	6
28	123456790	168	10	18	24	3	0	4	13	0	0	0	0	0	0	0	0	59	0	0	1	0	0	0	[2C]	1	6
29	123456790	156	18	19	27	3	0	3	14	0	0	0	0	0	0	0	0	59	0	0	1	0	0	0	[2C]	1	6
30	123456790	153	20	17	30	3	0	3	14	0	0	0	0	0	0	0	0	59	0	0	1	0	0	0	[2C]	1	6
31	123456790	146	13	8	13	6	9	13	32	0	0	0	0	0	0	0	0	70	0	0	3	0	0	0	[2C 3C 3D]	3	7
32	123456790	139	15	12	14	6	8	13	33	0	0	0	0	0	0	0	0	70	0	0	3	0	0	0	[2C 3C 3D]	3	7
33	123456790	139	13	14	34	3	7	11	19	0	0	0	0	0	0	0	0	70	0	0	3	0	0	0	[3C 3D]	2	7
34	123456790	139	7	19	35	3	4	11	22	0	0	0	0	0	0	0	0	70	0	0	3	0	0	0	[3C 3D]	2	8
35	123456790	139	7	15	39	3	2	11	24	0	0	0	0	0	0	0	0	70	0	0	3	0	0	0	[3C 3D]	2	8
