day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated	num-immunized	num-immunized-in-quarantine	num-immunized-in-quarantine-external-1	num-immunized-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456942	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	47	0	0	0	0	[]	0	0
1	123456942	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	74	47	0	0	0	0	[]	0	0
2	123456942	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	74	47	0	0	0	0	[]	0	0
3	123456942	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	74	47	0	0	0	0	[]	0	0
4	123456942	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	74	47	0	0	0	0	[]	0	0
5	123456942	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	74	47	0	0	0	0	[]	0	0
6	123456942	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	74	47	0	0	0	0	[]	0	0
7	123456942	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	74	47	0	0	0	0	[]	0	0
8	123456942	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	74	47	0	0	0	0	[]	0	0
9	123456942	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	74	47	0	0	0	0	[]	0	0
10	123456942	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	74	47	0	0	0	0	[]	0	0
11	123456942	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	74	47	0	0	0	0	[]	0	0
12	123456942	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	74	47	0	0	0	0	[]	0	0
13	123456942	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	74	47	0	0	0	0	[]	0	0
14	123456942	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	74	47	0	0	0	0	[]	0	0
15	123456942	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	74	47	0	0	0	0	[]	0	0
16	123456942	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	74	47	0	0	0	0	[]	0	0
17	123456942	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	74	47	0	0	0	0	[]	0	0
