day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456890	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456890	237	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	3	[]	0	0
2	123456890	233	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	5	[]	0	2
3	123456890	225	12	3	0	0	0	0	0	0	0	0	0	0	0	0	0	12	2	0	0	0	0	0	0	0	50	11	[]	0	3
4	123456890	202	11	7	0	0	0	0	0	0	0	0	0	16	3	1	0	12	2	1	0	0	1	0	0	0	50	14	[3A]	1	5
5	123456890	194	14	11	1	0	0	0	0	0	0	0	0	16	1	3	0	12	2	1	0	0	1	0	0	0	50	17	[3A]	1	7
6	123456890	191	13	14	2	0	0	0	0	0	0	0	0	16	0	2	2	12	3	1	0	0	1	0	0	0	50	20	[3A]	1	7
7	123456890	189	11	16	4	0	0	0	0	0	0	0	0	16	0	2	2	12	4	1	0	0	1	0	0	0	50	22	[3A]	1	8
8	123456890	164	19	14	3	0	0	0	0	0	0	0	0	31	1	5	3	12	5	2	0	0	2	0	0	0	50	22	[3A 1A]	2	8
9	123456890	153	25	18	4	0	0	0	0	0	0	0	0	31	1	5	3	12	5	2	0	0	2	0	0	0	50	24	[3A 1A]	2	9
10	123456890	128	28	18	6	8	5	5	2	0	0	0	0	31	1	4	4	22	5	2	1	0	2	0	0	0	50	26	[3A 1A 3C]	3	10
