day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated	num-immunized	num-immunized-in-quarantine	num-immunized-in-quarantine-external-1	num-immunized-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456795	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	61	0	0	0	0	[]	0	0
1	123456795	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	74	61	0	0	0	0	[]	0	0
2	123456795	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	74	61	0	0	0	0	[]	0	0
3	123456795	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	74	61	0	0	0	0	[]	0	0
4	123456795	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	74	61	0	0	0	0	[]	0	0
5	123456795	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	74	61	0	0	0	0	[]	0	0
6	123456795	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	74	61	0	0	0	0	[]	0	0
7	123456795	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	74	61	0	0	0	0	[]	0	0
8	123456795	227	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	74	61	0	0	0	2	[]	0	0
9	123456795	227	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	74	61	0	0	0	2	[]	0	0
10	123456795	227	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	74	61	0	0	0	2	[]	0	0
11	123456795	217	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	74	61	0	0	0	2	[]	0	1
12	123456795	214	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	74	61	0	0	0	2	[]	0	1
13	123456795	214	12	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	74	61	0	0	0	2	[]	0	1
14	123456795	213	11	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	24	2	0	0	2	74	61	0	0	0	3	[]	0	1
15	123456795	213	9	3	2	0	0	0	0	0	0	0	0	0	0	2	0	0	26	2	0	0	2	74	61	0	0	0	3	[]	0	1
