day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-vaccinated-susceptible-in-quarantine	num-vaccinated-exposed-in-quarantine	num-vaccinated-infected-in-quarantine	num-vaccinated-removed-in-quarantine	num-vaccinated-susceptible-in-quarantine-external-1	num-vaccinated-exposed-in-quarantine-external-1	num-vaccinated-infected-in-quarantine-external-1	num-vaccinated-removed-in-quarantine-external-1	num-vaccinated-susceptible-in-quarantine-external-2	num-vaccinated-exposed-in-quarantine-external-2	num-vaccinated-infected-in-quarantine-external-2	num-vaccinated-removed-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457141	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
1	123457141	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	73	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	0
2	123457141	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	73	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	0
3	123457141	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	73	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	0
4	123457141	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	73	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	1
5	123457141	215	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	73	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	1
6	123457141	215	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	73	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	1
7	123457141	215	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	2	0	0	0	0	73	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	0
8	123457141	214	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	3	0	0	0	0	73	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	0
9	123457141	213	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	5	0	0	0	0	73	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	[]	0	0
10	123457141	213	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	5	0	0	0	0	73	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	[]	0	0
11	123457141	213	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	6	0	0	0	0	72	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	[]	0	0
12	123457141	210	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	120	7	0	0	0	0	72	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	[]	0	1
13	123457141	210	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	120	7	0	0	0	0	72	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	[]	0	2
14	123457141	210	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	120	9	0	0	0	0	72	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	[]	0	1
15	123457141	179	1	0	0	31	0	3	1	0	0	0	0	0	0	1	0	213	9	1	3	0	1	69	1	0	0	3	0	0	1	0	0	0	0	0	0	0	0	5	[2B 3B]	2	2
