day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457678	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	0
1	123457678	239	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	1
2	123457678	239	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	50	0	0	0	0	[]	0	1
3	123457678	237	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	49	1	0	0	0	[]	0	1
4	123457678	237	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	49	0	1	0	0	[]	0	1
5	123457678	235	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	49	0	1	0	0	[]	0	2
6	123457678	235	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	49	0	1	0	0	[]	0	2
7	123457678	235	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	49	0	1	0	0	[]	0	2
8	123457678	234	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	49	0	1	0	0	[]	0	1
9	123457678	219	1	0	0	15	1	4	0	0	0	0	0	0	0	0	0	120	0	0	1	0	0	49	0	1	0	0	[2A]	1	1
10	123457678	219	1	0	0	15	0	5	0	0	0	0	0	0	0	0	0	120	0	0	1	0	0	49	0	1	0	0	[2A]	1	2
11	123457678	219	1	0	0	15	0	4	1	0	0	0	0	0	0	0	0	120	0	0	1	0	0	49	0	1	0	0	[2A]	1	1
12	123457678	219	1	0	0	15	0	4	1	0	0	0	0	0	0	0	0	120	0	0	1	0	0	49	0	1	0	0	[2A]	1	1
13	123457678	219	1	0	0	15	0	4	1	0	0	0	0	0	0	0	0	120	0	0	1	0	0	49	0	1	0	0	[2A]	1	1
14	123457678	219	1	0	0	15	0	2	3	0	0	0	0	0	0	0	0	120	0	0	1	0	0	49	0	0	1	0	[2A]	1	1
15	123457678	218	1	1	0	15	0	2	3	0	0	0	0	0	0	0	0	120	0	0	1	0	0	49	0	0	1	0	[2A]	1	2
16	123457678	218	1	0	1	15	0	2	3	0	0	0	0	0	0	0	0	175	0	0	1	0	0	49	0	0	1	0	[2A]	1	1
17	123457678	216	2	1	1	15	0	2	3	0	0	0	0	0	0	0	0	175	0	0	1	0	0	49	0	0	1	0	[2A]	1	2
18	123457678	216	2	1	1	15	0	2	3	0	0	0	0	0	0	0	0	175	0	0	1	0	0	49	0	0	1	0	[2A]	1	2
19	123457678	213	4	2	1	15	0	2	3	0	0	0	0	0	0	0	0	175	0	0	1	0	0	49	0	0	1	0	[2A]	1	2
20	123457678	213	3	3	1	15	0	1	4	0	0	0	0	0	0	0	0	175	0	0	1	0	0	49	0	0	1	0	[2A]	1	2
21	123457678	213	2	4	1	15	0	1	4	0	0	0	0	0	0	0	0	175	0	0	1	0	0	49	0	0	1	0	[2A]	1	2
22	123457678	212	3	2	3	15	0	1	4	0	0	0	0	0	0	0	0	175	0	0	1	0	0	49	0	0	1	0	[2A]	1	2
23	123457678	227	3	2	8	0	0	0	0	0	0	0	0	0	0	0	0	235	0	0	1	0	0	49	0	0	1	0	[]	0	1
24	123457678	226	4	1	9	0	0	0	0	0	0	0	0	0	0	0	0	235	0	0	1	0	0	49	0	0	1	0	[]	0	1
