day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456905	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456905	238	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	50	0	[]	0	1
2	123456905	238	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	50	0	[]	0	1
3	123456905	237	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	50	0	[]	0	1
4	123456905	220	0	0	0	17	1	2	0	0	0	0	0	0	0	0	0	120	6	0	1	0	0	0	0	0	50	0	[3D]	1	1
5	123456905	220	0	0	0	17	1	2	0	0	0	0	0	0	0	0	0	120	7	0	1	0	0	0	0	0	50	0	[3D]	1	1
6	123456905	220	0	0	0	17	1	2	0	0	0	0	0	0	0	0	0	120	10	0	1	0	0	0	0	0	50	0	[3D]	1	1
7	123456905	220	0	0	0	17	0	3	0	0	0	0	0	0	0	0	0	120	11	0	1	0	0	0	0	0	50	0	[3D]	1	1
8	123456905	220	0	0	0	17	0	1	2	0	0	0	0	0	0	0	0	120	11	0	1	0	0	0	0	0	50	0	[3D]	1	1
9	123456905	220	0	0	0	17	0	1	2	0	0	0	0	0	0	0	0	120	12	0	1	0	0	0	0	0	50	0	[3D]	1	1
10	123456905	220	0	0	0	17	0	1	2	0	0	0	0	0	0	0	0	120	13	0	1	0	0	0	0	0	50	0	[3D]	1	1
11	123456905	220	0	0	0	17	0	1	2	0	0	0	0	0	0	0	0	230	15	0	1	0	0	0	0	0	50	0	[3D]	1	1
12	123456905	220	0	0	0	17	0	0	3	0	0	0	0	0	0	0	0	230	16	0	1	0	0	0	0	0	50	0	[3D]	1	0
13	123456905	220	0	0	0	17	0	0	3	0	0	0	0	0	0	0	0	230	17	0	1	0	0	0	0	0	50	0	[3D]	1	0
14	123456905	220	0	0	0	17	0	0	3	0	0	0	0	0	0	0	0	230	18	0	1	0	0	0	0	0	50	0	[3D]	1	0
15	123456905	220	0	0	0	17	0	0	3	0	0	0	0	0	0	0	0	230	18	0	1	0	0	0	0	0	50	0	[3D]	1	0
16	123456905	220	0	0	0	17	0	0	3	0	0	0	0	0	0	0	0	230	18	0	1	0	0	0	0	0	50	0	[3D]	1	0
17	123456905	220	0	0	0	17	0	0	3	0	0	0	0	0	0	0	0	230	18	0	1	0	0	0	0	0	50	0	[3D]	1	0
18	123456905	237	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	350	18	0	1	0	0	0	0	0	50	0	[]	0	0
19	123456905	237	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	350	18	0	1	0	0	0	0	0	50	0	[]	0	0
20	123456905	237	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	350	18	0	1	0	0	0	0	0	50	0	[]	0	0
21	123456905	237	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	350	19	0	1	0	0	0	0	0	50	0	[]	0	0
22	123456905	237	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	350	20	0	1	0	0	0	0	0	50	0	[]	0	0
23	123456905	237	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	350	20	0	1	0	0	0	0	0	50	0	[]	0	0
24	123456905	237	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	350	21	0	1	0	0	0	0	0	50	0	[]	0	0
25	123456905	237	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	470	21	0	1	0	0	0	0	0	50	0	[]	0	0
26	123456905	237	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	470	22	0	1	0	0	0	0	0	50	0	[]	0	0
27	123456905	237	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	470	23	0	1	0	0	0	0	0	50	0	[]	0	0
28	123456905	237	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	470	24	0	1	0	0	0	0	0	50	0	[]	0	0
29	123456905	237	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	470	25	0	1	0	0	0	0	0	50	0	[]	0	0
30	123456905	237	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	470	26	0	1	0	0	0	0	0	50	0	[]	0	0
31	123456905	237	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	470	27	0	1	0	0	0	0	0	50	0	[]	0	0
32	123456905	237	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	590	29	0	1	0	0	0	0	0	50	0	[]	0	0
33	123456905	237	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	590	29	0	1	0	0	0	0	0	50	0	[]	0	0
34	123456905	237	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	590	31	0	1	0	0	0	0	0	50	0	[]	0	0
35	123456905	237	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	590	32	0	1	0	0	0	0	0	50	0	[]	0	0
