day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456989	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456989	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	50	0	[]	0	0
2	123456989	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	50	0	[]	0	0
3	123456989	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	50	1	[]	0	0
4	123456989	237	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	50	1	[]	0	1
5	123456989	236	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	12	2	0	0	0	0	0	0	0	50	1	[]	0	1
6	123456989	236	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	12	3	0	0	0	0	0	0	0	50	1	[]	0	1
7	123456989	236	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	12	9	0	0	0	0	0	0	0	50	1	[]	0	1
8	123456989	219	1	0	0	16	0	4	0	0	0	0	0	0	0	0	0	24	10	0	1	0	0	0	0	0	50	2	[2A]	1	1
9	123456989	219	1	0	0	16	0	4	0	0	0	0	0	0	0	0	0	24	12	0	1	0	0	0	0	0	50	2	[2A]	1	1
10	123456989	219	1	0	0	16	0	4	0	0	0	0	0	0	0	0	0	24	12	0	1	0	0	0	0	0	50	2	[2A]	1	1
