,day,agents,type,type_of_screening_pretty
0,1.0,1.0,Infected,Without screening
1,2.0,1.1221,Infected,Without screening
2,3.0,1.4044,Infected,Without screening
3,4.0,1.8649,Infected,Without screening
4,5.0,2.4284,Infected,Without screening
5,6.0,3.0621,Infected,Without screening
6,7.0,3.3393,Infected,Without screening
7,8.0,3.4124,Infected,Without screening
8,9.0,3.8348,Infected,Without screening
9,10.0,4.3764,Infected,Without screening
10,11.0,5.0871,Infected,Without screening
11,12.0,5.8799,Infected,Without screening
12,13.0,6.6787,Infected,Without screening
13,14.0,6.96,Infected,Without screening
14,15.0,6.8769,Infected,Without screening
15,16.0,7.1572,Infected,Without screening
16,17.0,7.6597,Infected,Without screening
17,18.0,8.2683,Infected,Without screening
18,19.0,8.956,Infected,Without screening
19,20.0,9.7808,Infected,Without screening
20,21.0,9.956,Infected,Without screening
21,22.0,9.6857,Infected,Without screening
22,23.0,9.8158,Infected,Without screening
23,24.0,10.3333,Infected,Without screening
24,25.0,10.9379,Infected,Without screening
25,26.0,11.6967,Infected,Without screening
26,27.0,12.4304,Infected,Without screening
27,28.0,12.5986,Infected,Without screening
28,29.0,12.1191,Infected,Without screening
29,30.0,12.3844,Infected,Without screening
30,31.0,12.8859,Infected,Without screening
31,32.0,13.6967,Infected,Without screening
32,33.0,14.4845,Infected,Without screening
33,34.0,15.3123,Infected,Without screening
34,35.0,15.4144,Infected,Without screening
35,1.0,0.0,Infected in quarantine,Without screening
36,2.0,0.0,Infected in quarantine,Without screening
37,3.0,0.0,Infected in quarantine,Without screening
38,4.0,0.0,Infected in quarantine,Without screening
39,5.0,0.0,Infected in quarantine,Without screening
40,6.0,0.0,Infected in quarantine,Without screening
41,7.0,0.0,Infected in quarantine,Without screening
42,8.0,0.0,Infected in quarantine,Without screening
43,9.0,0.0,Infected in quarantine,Without screening
44,10.0,0.0,Infected in quarantine,Without screening
45,11.0,0.0,Infected in quarantine,Without screening
46,12.0,0.0,Infected in quarantine,Without screening
47,13.0,0.0,Infected in quarantine,Without screening
48,14.0,0.0,Infected in quarantine,Without screening
49,15.0,0.0,Infected in quarantine,Without screening
50,16.0,0.0,Infected in quarantine,Without screening
51,17.0,0.0,Infected in quarantine,Without screening
52,18.0,0.0,Infected in quarantine,Without screening
53,19.0,0.0,Infected in quarantine,Without screening
54,20.0,0.0,Infected in quarantine,Without screening
55,21.0,0.0,Infected in quarantine,Without screening
56,22.0,0.0,Infected in quarantine,Without screening
57,23.0,0.0,Infected in quarantine,Without screening
58,24.0,0.0,Infected in quarantine,Without screening
59,25.0,0.0,Infected in quarantine,Without screening
60,26.0,0.0,Infected in quarantine,Without screening
61,27.0,0.0,Infected in quarantine,Without screening
62,28.0,0.0,Infected in quarantine,Without screening
63,29.0,0.0,Infected in quarantine,Without screening
64,30.0,0.0,Infected in quarantine,Without screening
65,31.0,0.0,Infected in quarantine,Without screening
66,32.0,0.0,Infected in quarantine,Without screening
67,33.0,0.0,Infected in quarantine,Without screening
68,34.0,0.0,Infected in quarantine,Without screening
69,35.0,0.0,Infected in quarantine,Without screening
70,1.0,1.0,Infected,Screening 25%
71,2.0,1.048,Infected,Screening 25%
72,3.0,0.7267,Infected,Screening 25%
73,4.0,0.992,Infected,Screening 25%
74,5.0,1.2843,Infected,Screening 25%
75,6.0,1.6897,Infected,Screening 25%
76,7.0,1.8829,Infected,Screening 25%
77,8.0,1.9159,Infected,Screening 25%
78,9.0,2.1862,Infected,Screening 25%
79,10.0,0.7207,Infected,Screening 25%
80,11.0,0.955,Infected,Screening 25%
81,12.0,1.1742,Infected,Screening 25%
82,13.0,1.3914,Infected,Screening 25%
83,14.0,1.4985,Infected,Screening 25%
84,15.0,1.5085,Infected,Screening 25%
85,16.0,1.6967,Infected,Screening 25%
86,17.0,0.5455,Infected,Screening 25%
87,18.0,0.6717,Infected,Screening 25%
88,19.0,0.8188,Infected,Screening 25%
89,20.0,0.989,Infected,Screening 25%
90,21.0,1.0661,Infected,Screening 25%
91,22.0,1.0691,Infected,Screening 25%
92,23.0,1.1351,Infected,Screening 25%
93,24.0,0.2863,Infected,Screening 25%
94,25.0,0.3584,Infected,Screening 25%
95,26.0,0.4454,Infected,Screening 25%
96,27.0,0.5395,Infected,Screening 25%
97,28.0,0.6186,Infected,Screening 25%
98,29.0,0.6276,Infected,Screening 25%
99,30.0,0.6957,Infected,Screening 25%
100,31.0,0.2222,Infected,Screening 25%
101,32.0,0.2693,Infected,Screening 25%
102,33.0,0.3524,Infected,Screening 25%
103,34.0,0.4214,Infected,Screening 25%
104,35.0,0.4575,Infected,Screening 25%
105,1.0,0.0,Infected in quarantine,Screening 25%
106,2.0,0.0,Infected in quarantine,Screening 25%
107,3.0,0.5776,Infected in quarantine,Screening 25%
108,4.0,0.5936,Infected in quarantine,Screening 25%
109,5.0,0.5726,Infected in quarantine,Screening 25%
110,6.0,0.5345,Infected in quarantine,Screening 25%
111,7.0,0.5005,Infected in quarantine,Screening 25%
112,8.0,0.4635,Infected in quarantine,Screening 25%
113,9.0,0.4004,Infected in quarantine,Screening 25%
114,10.0,2.2352,Infected in quarantine,Screening 25%
115,11.0,2.2432,Infected in quarantine,Screening 25%
116,12.0,2.1542,Infected in quarantine,Screening 25%
117,13.0,1.982,Infected in quarantine,Screening 25%
118,14.0,1.8208,Infected in quarantine,Screening 25%
119,15.0,1.6456,Infected in quarantine,Screening 25%
120,16.0,1.4625,Infected in quarantine,Screening 25%
121,17.0,2.5365,Infected in quarantine,Screening 25%
122,18.0,2.4004,Infected in quarantine,Screening 25%
123,19.0,2.2342,Infected in quarantine,Screening 25%
124,20.0,2.02,Infected in quarantine,Screening 25%
125,21.0,1.8268,Infected in quarantine,Screening 25%
126,22.0,1.6356,Infected in quarantine,Screening 25%
127,23.0,1.4655,Infected in quarantine,Screening 25%
128,24.0,1.7938,Infected in quarantine,Screening 25%
129,25.0,1.7107,Infected in quarantine,Screening 25%
130,26.0,1.5686,Infected in quarantine,Screening 25%
131,27.0,1.4344,Infected in quarantine,Screening 25%
132,28.0,1.3083,Infected in quarantine,Screening 25%
133,29.0,1.1582,Infected in quarantine,Screening 25%
134,30.0,1.02,Infected in quarantine,Screening 25%
135,31.0,1.1391,Infected in quarantine,Screening 25%
136,32.0,1.0751,Infected in quarantine,Screening 25%
137,33.0,0.988,Infected in quarantine,Screening 25%
138,34.0,0.9039,Infected in quarantine,Screening 25%
139,35.0,0.8128,Infected in quarantine,Screening 25%
140,1.0,1.0,Infected,Screening 50%
141,2.0,1.1021,Infected,Screening 50%
142,3.0,0.4194,Infected,Screening 50%
143,4.0,0.5876,Infected,Screening 50%
144,5.0,0.8208,Infected,Screening 50%
145,6.0,1.04,Infected,Screening 50%
146,7.0,1.1441,Infected,Screening 50%
147,8.0,1.1662,Infected,Screening 50%
148,9.0,1.3684,Infected,Screening 50%
149,10.0,0.2032,Infected,Screening 50%
150,11.0,0.2943,Infected,Screening 50%
151,12.0,0.3634,Infected,Screening 50%
152,13.0,0.4685,Infected,Screening 50%
153,14.0,0.5235,Infected,Screening 50%
154,15.0,0.5425,Infected,Screening 50%
155,16.0,0.6316,Infected,Screening 50%
156,17.0,0.1001,Infected,Screening 50%
157,18.0,0.1502,Infected,Screening 50%
158,19.0,0.2042,Infected,Screening 50%
159,20.0,0.2643,Infected,Screening 50%
160,21.0,0.2993,Infected,Screening 50%
161,22.0,0.3063,Infected,Screening 50%
162,23.0,0.3433,Infected,Screening 50%
163,24.0,0.035,Infected,Screening 50%
164,25.0,0.0521,Infected,Screening 50%
165,26.0,0.0701,Infected,Screening 50%
166,27.0,0.0881,Infected,Screening 50%
167,28.0,0.1001,Infected,Screening 50%
168,29.0,0.1051,Infected,Screening 50%
169,30.0,0.1131,Infected,Screening 50%
170,31.0,0.026,Infected,Screening 50%
171,32.0,0.038,Infected,Screening 50%
172,33.0,0.044,Infected,Screening 50%
173,34.0,0.0531,Infected,Screening 50%
174,35.0,0.0661,Infected,Screening 50%
175,1.0,0.0,Infected in quarantine,Screening 50%
176,2.0,0.0,Infected in quarantine,Screening 50%
177,3.0,0.9219,Infected in quarantine,Screening 50%
178,4.0,0.9249,Infected in quarantine,Screening 50%
179,5.0,0.9149,Infected in quarantine,Screening 50%
180,6.0,0.8789,Infected in quarantine,Screening 50%
181,7.0,0.8158,Infected in quarantine,Screening 50%
182,8.0,0.7688,Infected in quarantine,Screening 50%
183,9.0,0.6837,Infected in quarantine,Screening 50%
184,10.0,2.041,Infected in quarantine,Screening 50%
185,11.0,2.03,Infected in quarantine,Screening 50%
186,12.0,1.9289,Infected in quarantine,Screening 50%
187,13.0,1.7908,Infected in quarantine,Screening 50%
