day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457427	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	0
1	123457427	239	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	49	1	0	0	0	[]	0	1
2	123457427	237	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	49	1	0	0	0	[]	0	1
3	123457427	237	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	49	1	0	0	0	[]	0	0
4	123457427	237	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	49	1	0	0	0	[]	0	0
5	123457427	236	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	49	1	0	0	0	[]	0	1
6	123457427	236	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	49	1	0	0	0	[]	0	1
7	123457427	236	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	49	0	1	0	0	[]	0	1
8	123457427	235	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	49	0	1	0	0	[]	0	1
9	123457427	233	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	48	1	1	0	0	[]	0	2
10	123457427	231	5	3	1	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	48	1	1	0	0	[]	0	1
11	123457427	228	6	5	1	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	48	0	2	0	0	[]	0	1
12	123457427	227	7	3	3	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	48	0	2	0	0	[]	0	1
13	123457427	227	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	48	0	2	0	0	[]	0	1
14	123457427	227	3	5	5	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	48	0	2	0	0	[]	0	1
15	123457427	220	0	0	0	7	2	6	5	0	0	0	0	0	0	0	0	48	0	0	1	0	0	48	0	2	0	0	[3C]	1	1
16	123457427	220	0	0	0	7	1	5	7	0	0	0	0	0	0	0	0	48	0	0	1	0	0	48	0	2	0	0	[3C]	1	1
17	123457427	219	1	0	0	7	1	5	7	0	0	0	0	0	0	0	0	48	0	0	1	0	0	48	0	2	0	0	[3C]	1	1
18	123457427	218	1	1	0	7	1	4	8	0	0	0	0	0	0	0	0	48	0	0	1	0	0	48	0	1	1	0	[3C]	1	2
19	123457427	218	1	1	0	7	0	5	8	0	0	0	0	0	0	0	0	48	0	0	1	0	0	48	0	1	1	0	[3C]	1	2
20	123457427	218	1	1	0	7	0	4	9	0	0	0	0	0	0	0	0	48	0	0	1	0	0	48	0	1	1	0	[3C]	1	2
21	123457427	218	1	1	0	7	0	4	9	0	0	0	0	0	0	0	0	48	0	0	1	0	0	48	0	1	1	0	[3C]	1	2
22	123457427	218	0	2	0	7	0	3	10	0	0	0	0	0	0	0	0	59	0	0	1	0	0	48	0	1	1	0	[3C]	1	2
23	123457427	218	0	2	0	7	0	3	10	0	0	0	0	0	0	0	0	59	0	0	1	0	0	47	1	1	1	0	[3C]	1	2
24	123457427	217	1	2	0	7	0	3	10	0	0	0	0	0	0	0	0	59	0	0	1	0	0	47	1	1	1	0	[3C]	1	2
25	123457427	217	1	0	2	7	0	3	10	0	0	0	0	0	0	0	0	59	0	0	1	0	0	47	1	1	1	0	[3C]	1	1
26	123457427	217	0	1	2	7	0	2	11	0	0	0	0	0	0	0	0	59	0	0	1	0	0	47	1	1	1	0	[3C]	1	2
27	123457427	217	0	1	2	7	0	2	11	0	0	0	0	0	0	0	0	59	0	0	1	0	0	47	1	1	1	0	[3C]	1	2
28	123457427	217	0	0	3	7	0	2	11	0	0	0	0	0	0	0	0	59	0	0	1	0	0	47	0	2	1	0	[3C]	1	1
29	123457427	224	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	1	0	0	47	0	2	1	0	[]	0	0
30	123457427	224	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	1	0	0	47	0	2	1	0	[]	0	1
31	123457427	224	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	1	0	0	47	0	2	1	0	[]	0	0
32	123457427	224	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	1	0	0	47	0	2	1	0	[]	0	0
33	123457427	224	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	1	0	0	47	0	1	2	0	[]	0	1
34	123457427	224	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	1	0	0	47	0	0	3	0	[]	0	0
35	123457427	224	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	1	0	0	47	0	0	3	0	[]	0	0
