,day,new-infected,type,type_of_screening_pretty
0,1.0,1.0,Nuovi infetti,Senza screening
1,2.0,0.2512000000000114,Nuovi infetti,Senza screening
2,3.0,0.4154999999999802,Nuovi infetti,Senza screening
3,4.0,0.6726999999999919,Nuovi infetti,Senza screening
4,5.0,0.7907000000000153,Nuovi infetti,Senza screening
5,6.0,0.9590000000000032,Nuovi infetti,Senza screening
6,7.0,0.6805999999999983,Nuovi infetti,Senza screening
7,8.0,0.4995999999999867,Nuovi infetti,Senza screening
8,9.0,0.9168999999999983,Nuovi infetti,Senza screening
9,10.0,1.075000000000017,Nuovi infetti,Senza screening
10,11.0,1.2813000000000159,Nuovi infetti,Senza screening
11,12.0,1.4534999999999911,Nuovi infetti,Senza screening
12,13.0,1.5845999999999947,Nuovi infetti,Senza screening
13,14.0,1.1781000000000006,Nuovi infetti,Senza screening
14,15.0,0.831799999999987,Nuovi infetti,Senza screening
15,16.0,1.2253000000000043,Nuovi infetti,Senza screening
16,17.0,1.4665000000000248,Nuovi infetti,Senza screening
17,18.0,1.6245999999999583,Nuovi infetti,Senza screening
18,19.0,1.745800000000031,Nuovi infetti,Senza screening
19,20.0,2.0449999999999875,Nuovi infetti,Senza screening
20,21.0,1.440400000000011,Nuovi infetti,Senza screening
21,22.0,1.0351,Nuovi infetti,Senza screening
22,23.0,1.4713999999999885,Nuovi infetti,Senza screening
23,24.0,1.8119000000000085,Nuovi infetti,Senza screening
24,25.0,2.008999999999986,Nuovi infetti,Senza screening
25,26.0,2.2613000000000056,Nuovi infetti,Senza screening
26,27.0,2.323299999999989,Nuovi infetti,Senza screening
27,28.0,1.7557000000000187,Nuovi infetti,Senza screening
28,29.0,1.1881999999999948,Nuovi infetti,Senza screening
29,30.0,1.873899999999992,Nuovi infetti,Senza screening
30,31.0,2.2001000000000204,Nuovi infetti,Senza screening
31,32.0,2.5105999999999824,Nuovi infetti,Senza screening
32,33.0,2.6306000000000154,Nuovi infetti,Senza screening
33,34.0,2.7626999999999953,Nuovi infetti,Senza screening
34,35.0,2.032100000000014,Nuovi infetti,Senza screening
35,1.0,1.0,Nuovi infetti,Screening 25%
36,2.0,0.17990000000003192,Nuovi infetti,Screening 25%
37,3.0,0.351999999999947,Nuovi infetti,Screening 25%
38,4.0,0.47510000000002606,Nuovi infetti,Screening 25%
39,5.0,0.5521999999999991,Nuovi infetti,Screening 25%
40,6.0,0.6183999999999799,Nuovi infetti,Screening 25%
41,7.0,0.4573999999999785,Nuovi infetti,Screening 25%
42,8.0,0.31280000000000996,Nuovi infetti,Screening 25%
43,9.0,0.4706000000000472,Nuovi infetti,Screening 25%
44,10.0,0.5532999999999788,Nuovi infetti,Screening 25%
45,11.0,0.6259000000000015,Nuovi infetti,Screening 25%
46,12.0,0.6089000000000055,Nuovi infetti,Screening 25%
47,13.0,0.55600000000004,Nuovi infetti,Screening 25%
48,14.0,0.4175999999999931,Nuovi infetti,Screening 25%
49,15.0,0.3183999999999685,Nuovi infetti,Screening 25%
50,16.0,0.4000000000000057,Nuovi infetti,Screening 25%
51,17.0,0.4119999999999777,Nuovi infetti,Screening 25%
52,18.0,0.4005999999999972,Nuovi infetti,Screening 25%
53,19.0,0.39860000000001605,Nuovi infetti,Screening 25%
54,20.0,0.39179999999998927,Nuovi infetti,Screening 25%
55,21.0,0.2949000000000126,Nuovi infetti,Screening 25%
56,22.0,0.17830000000000723,Nuovi infetti,Screening 25%
57,23.0,0.2506999999999948,Nuovi infetti,Screening 25%
58,24.0,0.2487000000000137,Nuovi infetti,Screening 25%
59,25.0,0.2698999999999785,Nuovi infetti,Screening 25%
60,26.0,0.2640999999999849,Nuovi infetti,Screening 25%
61,27.0,0.24070000000003233,Nuovi infetti,Screening 25%
62,28.0,0.17099999999996385,Nuovi infetti,Screening 25%
63,29.0,0.12180000000000746,Nuovi infetti,Screening 25%
64,30.0,0.1599000000000217,Nuovi infetti,Screening 25%
65,31.0,0.18330000000000268,Nuovi infetti,Screening 25%
66,32.0,0.17499999999998295,Nuovi infetti,Screening 25%
67,33.0,0.17379999999999995,Nuovi infetti,Screening 25%
68,34.0,0.1706000000000074,Nuovi infetti,Screening 25%
69,35.0,0.11369999999999436,Nuovi infetti,Screening 25%
70,1.0,1.0,Nuovi infetti,Screening 50%
71,2.0,0.2043999999999926,Nuovi infetti,Screening 50%
72,3.0,0.32840000000001623,Nuovi infetti,Screening 50%
73,4.0,0.40279999999998495,Nuovi infetti,Screening 50%
74,5.0,0.5061000000000035,Nuovi infetti,Screening 50%
75,6.0,0.4650000000000034,Nuovi infetti,Screening 50%
76,7.0,0.34610000000000696,Nuovi infetti,Screening 50%
77,8.0,0.2283999999999935,Nuovi infetti,Screening 50%
