day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456863	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	[]	0	0
1	123456863	236	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	0	[]	0	1
2	123456863	235	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	120	2	0	0	0	0	0	0	0	50	0	[]	0	1
3	123456863	233	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	120	2	0	0	0	0	0	0	0	50	0	[]	0	1
4	123456863	232	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	120	3	0	0	0	0	0	0	0	50	0	[]	0	1
5	123456863	230	5	4	1	0	0	0	0	0	0	0	0	0	0	0	0	120	3	0	0	0	0	0	0	0	50	0	[]	0	1
6	123456863	230	3	5	2	0	0	0	0	0	0	0	0	0	0	0	0	120	3	0	0	0	0	0	0	0	50	0	[]	0	2
7	123456863	230	2	5	3	0	0	0	0	0	0	0	0	0	0	0	0	120	3	0	0	0	0	0	0	0	50	0	[]	0	2
8	123456863	228	3	5	4	0	0	0	0	0	0	0	0	0	0	0	0	120	4	0	0	0	0	0	0	0	50	0	[]	0	2
9	123456863	200	0	0	0	28	2	5	5	0	0	0	0	0	0	0	0	240	4	0	4	0	0	0	0	0	50	0	[1D 3A]	2	2
10	123456863	200	0	0	0	28	2	4	6	0	0	0	0	0	0	0	0	240	4	0	4	0	0	0	0	0	50	0	[1D 3A]	2	2
11	123456863	200	0	0	0	28	2	3	7	0	0	0	0	0	0	0	0	240	4	0	4	0	0	0	0	0	50	0	[1D 3A]	2	2
12	123456863	200	0	0	0	28	1	4	7	0	0	0	0	0	0	0	0	240	5	0	4	0	0	0	0	0	50	0	[1D 3A]	2	2
13	123456863	200	0	0	0	28	1	2	9	0	0	0	0	0	0	0	0	240	5	0	4	0	0	0	0	0	50	0	[1D 3A]	2	2
14	123456863	200	0	0	0	28	1	2	9	0	0	0	0	0	0	0	0	240	5	0	4	0	0	0	0	0	50	0	[1D 3A]	2	2
15	123456863	200	0	0	0	28	0	2	10	0	0	0	0	0	0	0	0	240	5	0	4	0	0	0	0	0	50	0	[1D 3A]	2	2
16	123456863	200	0	0	0	28	0	2	10	0	0	0	0	0	0	0	0	340	8	0	4	0	0	0	0	0	50	0	[1D 3A]	2	2
17	123456863	200	0	0	0	28	0	2	10	0	0	0	0	0	0	0	0	340	8	0	4	0	0	0	0	0	50	0	[1D 3A]	2	2
18	123456863	200	0	0	0	28	0	1	11	0	0	0	0	0	0	0	0	340	8	0	4	0	0	0	0	0	50	0	[1D 3A]	2	1
19	123456863	200	0	0	0	28	0	0	12	0	0	0	0	0	0	0	0	340	8	0	4	0	0	0	0	0	50	0	[1D 3A]	2	0
20	123456863	200	0	0	0	28	0	0	12	0	0	0	0	0	0	0	0	340	8	0	4	0	0	0	0	0	50	0	[1D 3A]	2	0
21	123456863	200	0	0	0	28	0	0	12	0	0	0	0	0	0	0	0	340	8	0	4	0	0	0	0	0	50	0	[1D 3A]	2	0
22	123456863	200	0	0	0	28	0	0	12	0	0	0	0	0	0	0	0	340	8	0	4	0	0	0	0	0	50	0	[1D 3A]	2	0
23	123456863	228	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	460	8	0	4	0	0	0	0	0	50	0	[]	0	0
24	123456863	228	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	460	9	0	4	0	0	0	0	0	50	0	[]	0	0
25	123456863	228	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	460	11	0	4	0	0	0	0	0	50	0	[]	0	0
26	123456863	228	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	460	12	0	4	0	0	0	0	0	50	0	[]	0	0
27	123456863	228	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	460	14	0	4	0	0	0	0	0	50	0	[]	0	0
28	123456863	228	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	460	15	0	4	0	0	0	0	0	50	0	[]	0	0
29	123456863	228	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	460	15	0	4	0	0	0	0	0	50	0	[]	0	0
30	123456863	228	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	580	16	0	4	0	0	0	0	0	50	0	[]	0	0
31	123456863	228	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	580	17	0	4	0	0	0	0	0	50	0	[]	0	0
32	123456863	228	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	580	17	0	4	0	0	0	0	0	50	0	[]	0	0
33	123456863	228	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	580	19	0	4	0	0	0	0	0	50	0	[]	0	0
34	123456863	228	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	580	19	0	4	0	0	0	0	0	50	0	[]	0	0
35	123456863	228	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	580	19	0	4	0	0	0	0	0	50	0	[]	0	0
