,day,cumulative_infected,type,type_of_screening_pretty
0,1.0,1.0,Total infected,Without screening
1,2.0,1.2081999999999766,Total infected,Without screening
2,3.0,1.6056000000000097,Total infected,Without screening
3,4.0,2.1531999999999982,Total infected,Without screening
4,5.0,2.837900000000019,Total infected,Without screening
5,6.0,3.6705000000000325,Total infected,Without screening
6,7.0,4.267300000000034,Total infected,Without screening
7,8.0,4.728699999999975,Total infected,Without screening
8,9.0,5.478399999999965,Total infected,Without screening
9,10.0,6.411300000000011,Total infected,Without screening
10,11.0,7.470499999999987,Total infected,Without screening
11,12.0,8.605499999999978,Total infected,Without screening
12,13.0,9.7457,Total infected,Without screening
13,14.0,10.637699999999995,Total infected,Without screening
14,15.0,11.210199999999986,Total infected,Without screening
15,16.0,12.066999999999979,Total infected,Without screening
16,17.0,13.025999999999982,Total infected,Without screening
17,18.0,14.046999999999997,Total infected,Without screening
18,19.0,15.147199999999998,Total infected,Without screening
19,20.0,16.35730000000001,Total infected,Without screening
20,21.0,17.194199999999995,Total infected,Without screening
21,22.0,17.844899999999996,Total infected,Without screening
22,23.0,18.646599999999978,Total infected,Without screening
23,24.0,19.53450000000001,Total infected,Without screening
24,25.0,20.61159999999998,Total infected,Without screening
25,26.0,21.73180000000002,Total infected,Without screening
26,27.0,22.860899999999987,Total infected,Without screening
27,28.0,23.67179999999999,Total infected,Without screening
28,29.0,24.23520000000002,Total infected,Without screening
29,30.0,25.020099999999985,Total infected,Without screening
30,31.0,25.976,Total infected,Without screening
31,32.0,26.939900000000023,Total infected,Without screening
32,33.0,27.923900000000003,Total infected,Without screening
33,34.0,29.01599999999999,Total infected,Without screening
34,35.0,29.788700000000006,Total infected,Without screening
35,1.0,1.0,Total infected,Screening 25%
36,2.0,1.1960000000000264,Total infected,Screening 25%
37,3.0,1.5777999999999963,Total infected,Screening 25%
38,4.0,2.1105000000000302,Total infected,Screening 25%
39,5.0,2.7236000000000615,Total infected,Screening 25%
40,6.0,3.502600000000001,Total infected,Screening 25%
41,7.0,4.125699999999995,Total infected,Screening 25%
42,8.0,4.613100000000003,Total infected,Screening 25%
43,9.0,5.150699999999972,Total infected,Screening 25%
44,10.0,5.904599999999959,Total infected,Screening 25%
45,11.0,6.783900000000017,Total infected,Screening 25%
46,12.0,7.733699999999999,Total infected,Screening 25%
47,13.0,8.854300000000052,Total infected,Screening 25%
48,14.0,9.557700000000011,Total infected,Screening 25%
49,15.0,10.090400000000045,Total infected,Screening 25%
50,16.0,10.743800000000022,Total infected,Screening 25%
51,17.0,11.613100000000031,Total infected,Screening 25%
52,18.0,12.517600000000044,Total infected,Screening 25%
53,19.0,13.457300000000032,Total infected,Screening 25%
54,20.0,14.261400000000009,Total infected,Screening 25%
55,21.0,14.964799999999968,Total infected,Screening 25%
56,22.0,15.452300000000037,Total infected,Screening 25%
57,23.0,16.06529999999998,Total infected,Screening 25%
58,24.0,16.84420000000003,Total infected,Screening 25%
59,25.0,17.643400000000014,Total infected,Screening 25%
60,26.0,18.467300000000023,Total infected,Screening 25%
61,27.0,19.316399999999987,Total infected,Screening 25%
62,28.0,19.929700000000025,Total infected,Screening 25%
63,29.0,20.236199999999997,Total infected,Screening 25%
64,30.0,20.79389999999998,Total infected,Screening 25%
65,31.0,21.356799999999993,Total infected,Screening 25%
66,32.0,22.15590000000003,Total infected,Screening 25%
67,33.0,22.83419999999998,Total infected,Screening 25%
68,34.0,23.47739999999999,Total infected,Screening 25%
69,35.0,23.919600000000003,Total infected,Screening 25%
70,1.0,1.0,Total infected,Screening 50%
71,2.0,1.1508000000000038,Total infected,Screening 50%
72,3.0,1.3768000000000313,Total infected,Screening 50%
73,4.0,1.9096000000000117,Total infected,Screening 50%
74,5.0,2.5578000000000145,Total infected,Screening 50%
75,6.0,3.1307000000000187,Total infected,Screening 50%
76,7.0,3.638300000000015,Total infected,Screening 50%
77,8.0,3.9749999999999943,Total infected,Screening 50%
78,9.0,4.396999999999991,Total infected,Screening 50%
79,10.0,4.99490000000003,Total infected,Screening 50%
80,11.0,5.6384000000000185,Total infected,Screening 50%
81,12.0,6.3870000000000005,Total infected,Screening 50%
82,13.0,7.120500000000021,Total infected,Screening 50%
83,14.0,7.643100000000032,Total infected,Screening 50%
84,15.0,7.9698999999999955,Total infected,Screening 50%
85,16.0,8.421999999999969,Total infected,Screening 50%
86,17.0,8.959899999999976,Total infected,Screening 50%
87,18.0,9.44210000000001,Total infected,Screening 50%
88,19.0,9.969899999999967,Total infected,Screening 50%
89,20.0,10.472300000000018,Total infected,Screening 50%
90,21.0,10.884399999999971,Total infected,Screening 50%
91,22.0,11.186000000000007,Total infected,Screening 50%
92,23.0,11.527500000000003,Total infected,Screening 50%
93,24.0,11.874299999999977,Total infected,Screening 50%
94,25.0,12.35669999999999,Total infected,Screening 50%
95,26.0,12.879399999999976,Total infected,Screening 50%
96,27.0,13.396999999999991,Total infected,Screening 50%
97,28.0,13.728499999999968,Total infected,Screening 50%
98,29.0,13.934599999999989,Total infected,Screening 50%
99,30.0,14.216099999999983,Total infected,Screening 50%
100,31.0,14.532699999999977,Total infected,Screening 50%
101,32.0,14.919399999999996,Total infected,Screening 50%
102,33.0,15.286400000000015,Total infected,Screening 50%
103,34.0,15.658299999999997,Total infected,Screening 50%
104,35.0,15.859199999999987,Total infected,Screening 50%
105,1.0,1.0000000000000284,Total infected,Screening 100%
106,2.0,1.2613000000000056,Total infected,Screening 100%
107,3.0,1.6884000000000015,Total infected,Screening 100%
108,4.0,2.256200000000007,Total infected,Screening 100%
109,5.0,2.974700000000013,Total infected,Screening 100%
110,6.0,3.6683000000000163,Total infected,Screening 100%
111,7.0,4.130600000000015,Total infected,Screening 100%
112,8.0,4.46720000000002,Total infected,Screening 100%
113,9.0,4.949799999999982,Total infected,Screening 100%
114,10.0,5.527599999999978,Total infected,Screening 100%
115,11.0,6.075300000000027,Total infected,Screening 100%
116,12.0,6.698400000000021,Total infected,Screening 100%
117,13.0,7.200999999999993,Total infected,Screening 100%
118,14.0,7.663400000000024,Total infected,Screening 100%
119,15.0,7.90949999999998,Total infected,Screening 100%
120,16.0,8.200999999999965,Total infected,Screening 100%
121,17.0,8.472300000000018,Total infected,Screening 100%
122,18.0,8.7637,Total infected,Screening 100%
123,19.0,9.085400000000021,Total infected,Screening 100%
124,20.0,9.331600000000037,Total infected,Screening 100%
125,21.0,9.50260000000003,Total infected,Screening 100%
126,22.0,9.653199999999998,Total infected,Screening 100%
127,23.0,9.829000000000036,Total infected,Screening 100%
128,24.0,9.995000000000033,Total infected,Screening 100%
129,25.0,10.170999999999964,Total infected,Screening 100%
130,26.0,10.37190000000001,Total infected,Screening 100%
131,27.0,10.527799999999985,Total infected,Screening 100%
132,28.0,10.633199999999988,Total infected,Screening 100%
133,29.0,10.738599999999991,Total infected,Screening 100%
134,30.0,10.844300000000032,Total infected,Screening 100%
135,31.0,10.939699999999988,Total infected,Screening 100%
136,32.0,11.020199999999988,Total infected,Screening 100%
137,33.0,11.105500000000035,Total infected,Screening 100%
138,34.0,11.206000000000017,Total infected,Screening 100%
139,35.0,11.296500000000009,Total infected,Screening 100%
