day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-vaccinated-susceptible-in-quarantine	num-vaccinated-exposed-in-quarantine	num-vaccinated-infected-in-quarantine	num-vaccinated-removed-in-quarantine	num-vaccinated-susceptible-in-quarantine-external-1	num-vaccinated-exposed-in-quarantine-external-1	num-vaccinated-infected-in-quarantine-external-1	num-vaccinated-removed-in-quarantine-external-1	num-vaccinated-susceptible-in-quarantine-external-2	num-vaccinated-exposed-in-quarantine-external-2	num-vaccinated-infected-in-quarantine-external-2	num-vaccinated-removed-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457099	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
1	123457099	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	2	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
2	123457099	215	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	4	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	0
3	123457099	215	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	6	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	0
4	123457099	215	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	7	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	0
5	123457099	215	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	7	0	0	0	0	73	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	0
6	123457099	215	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	7	0	0	0	0	73	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	1
7	123457099	215	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	7	0	0	0	0	73	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	1
8	123457099	213	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	120	7	0	0	0	0	72	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	1
9	123457099	205	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	120	7	0	0	0	0	71	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	[]	0	1
10	123457099	200	10	6	0	0	0	0	0	0	0	0	0	0	0	0	0	120	7	0	0	0	0	70	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	[]	0	2
11	123457099	194	13	9	0	0	0	0	0	0	0	0	0	0	0	0	0	120	9	0	0	0	0	68	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	5	[]	0	2
12	123457099	183	21	10	2	0	0	0	0	0	0	0	0	0	0	0	0	120	9	0	0	0	0	67	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0	5	[]	0	3
13	123457099	183	16	12	5	0	0	0	0	0	0	0	0	0	0	0	0	120	10	0	0	0	0	67	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	5	[]	0	4
14	123457099	183	12	13	7	0	0	0	0	0	0	1	0	0	0	0	0	139	13	0	0	1	0	67	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	5	[]	0	4
