day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-vaccinated-susceptible-in-quarantine	num-vaccinated-exposed-in-quarantine	num-vaccinated-infected-in-quarantine	num-vaccinated-removed-in-quarantine	num-vaccinated-susceptible-in-quarantine-external-1	num-vaccinated-exposed-in-quarantine-external-1	num-vaccinated-infected-in-quarantine-external-1	num-vaccinated-removed-in-quarantine-external-1	num-vaccinated-susceptible-in-quarantine-external-2	num-vaccinated-exposed-in-quarantine-external-2	num-vaccinated-infected-in-quarantine-external-2	num-vaccinated-removed-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123457121	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[]	0	0
1	123457121	215	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	1	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	0
2	123457121	215	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	1	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	[]	0	0
3	123457121	214	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	2	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	[]	0	0
4	123457121	209	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	2	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	[]	0	1
5	123457121	208	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	2	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	[]	0	1
6	123457121	208	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	60	2	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	[]	0	1
7	123457121	208	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	60	2	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	[]	0	2
8	123457121	195	2	1	0	12	1	5	0	0	0	0	0	0	0	0	0	139	2	0	5	0	0	72	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	[2D]	1	2
9	123457121	191	4	3	0	12	1	5	0	0	0	0	0	0	0	0	0	139	3	0	5	0	0	71	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	[2D]	1	3
10	123457121	182	11	5	0	12	1	4	1	0	0	0	0	0	0	0	0	139	4	0	5	0	0	70	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	[2D]	1	3
11	123457121	179	13	6	0	12	0	5	1	0	0	0	0	0	0	0	0	139	4	0	5	0	0	68	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	[2D]	1	3
12	123457121	174	17	4	3	12	0	5	1	0	0	0	0	0	0	0	0	139	4	0	5	0	0	65	7	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	[2D]	1	3
13	123457121	173	4	2	1	13	11	9	3	0	0	0	0	0	0	0	0	158	4	1	9	0	1	65	5	0	0	2	1	0	0	0	0	0	0	0	0	1	0	3	[2D 3A]	2	3
14	123457121	173	3	2	2	13	9	10	4	0	0	0	0	0	0	0	0	158	5	1	9	0	1	65	4	1	0	2	1	0	0	0	0	0	0	0	0	1	0	3	[2D 3A]	2	3
15	123457121	162	0	0	0	24	7	15	8	0	0	0	0	0	0	0	0	208	5	1	11	0	1	65	1	2	0	2	3	0	0	0	0	0	0	0	0	1	0	3	[2D 3A 1C]	3	3
