day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-students	num-of-screened-students-external-1	num-of-screened-students-external-2	num-of-positive-students	num-of-positive-students-external-1	num-of-positive-students-external-2	num-vaccinated-susceptible	num-vaccinated-exposed	num-vaccinated-infected	num-vaccinated-removed	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456837	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	0
1	123456837	239	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	[]	0	1
2	123456837	236	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	50	0	0	0	0	[]	0	1
3	123456837	235	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	50	0	0	0	0	[]	0	1
4	123456837	234	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	50	0	0	0	0	[]	0	1
5	123456837	231	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	50	0	0	0	0	[]	0	1
6	123456837	231	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	50	0	0	0	0	[]	0	1
7	123456837	231	2	5	2	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	50	0	0	0	0	[]	0	1
8	123456837	230	3	4	3	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	50	0	0	0	0	[]	0	1
9	123456837	229	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	50	0	0	0	0	[]	0	1
10	123456837	226	5	6	3	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	50	0	0	0	0	[]	0	1
11	123456837	224	7	6	3	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	50	0	0	0	0	[]	0	1
12	123456837	220	10	7	3	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	50	0	0	0	0	[]	0	1
13	123456837	220	6	10	4	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	50	0	0	0	0	[]	0	1
14	123456837	220	6	8	6	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	50	0	0	0	0	[]	0	1
15	123456837	219	3	12	6	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	50	0	0	0	0	[]	0	1
16	123456837	216	3	1	0	2	0	11	7	0	0	0	0	0	0	0	0	36	0	0	1	0	0	50	0	0	0	0	[2C]	1	2
17	123456837	214	3	3	0	2	0	11	7	0	0	0	0	0	0	0	0	36	0	0	1	0	0	50	0	0	0	0	[2C]	1	3
18	123456837	213	4	2	1	2	0	11	7	0	0	0	0	0	0	0	0	36	0	0	1	0	0	50	0	0	0	0	[2C]	1	2
19	123456837	212	4	3	1	2	0	10	8	0	0	0	0	0	0	0	0	36	0	0	1	0	0	50	0	0	0	0	[2C]	1	2
20	123456837	212	3	4	1	2	0	8	10	0	0	0	0	0	0	0	0	36	0	0	1	0	0	50	0	0	0	0	[2C]	1	2
21	123456837	212	2	5	1	2	0	7	11	0	0	0	0	0	0	0	0	36	0	0	1	0	0	50	0	0	0	0	[2C]	1	3
22	123456837	210	4	5	1	2	0	6	12	0	0	0	0	0	0	0	0	36	0	0	1	0	0	50	0	0	0	0	[2C]	1	3
23	123456837	206	6	7	1	2	0	5	13	0	0	0	0	0	0	0	0	47	0	0	1	0	0	50	0	0	0	0	[2C]	1	3
24	123456837	203	8	5	4	2	0	5	13	0	0	0	0	0	0	0	0	47	0	0	1	0	0	50	0	0	0	0	[2C]	1	3
25	123456837	201	9	6	4	2	0	5	13	0	0	0	0	0	0	0	0	47	0	0	1	0	0	48	2	0	0	0	[2C]	1	3
26	123456837	196	9	11	4	2	0	5	13	0	0	0	0	0	0	0	0	47	0	0	1	0	0	48	1	1	0	0	[2C]	1	4
27	123456837	196	6	14	4	2	0	4	14	0	0	0	0	0	0	0	0	47	0	0	1	0	0	48	0	2	0	0	[2C]	1	4
28	123456837	196	3	15	6	2	0	4	14	0	0	0	0	0	0	0	0	47	0	0	1	0	0	48	0	2	0	0	[2C]	1	4
29	123456837	191	8	14	7	2	0	4	14	0	0	0	0	0	0	0	0	47	0	0	1	0	0	46	2	1	1	0	[2C]	1	4
30	123456837	175	6	12	27	17	1	2	0	0	0	0	0	0	0	0	0	59	0	0	2	0	0	45	2	1	2	0	[1B]	1	3
31	123456837	174	6	12	28	17	1	2	0	0	0	0	0	0	0	0	0	59	0	0	2	0	0	45	0	3	2	0	[1B]	1	3
32	123456837	169	8	13	30	17	1	1	1	0	0	0	0	0	0	0	0	59	0	0	2	0	0	45	0	3	2	0	[1B]	1	5
33	123456837	163	12	14	31	17	1	0	2	0	0	0	0	0	0	0	0	59	0	0	2	0	0	42	3	2	3	0	[1B]	1	5
34	123456837	163	7	15	35	17	1	0	2	0	0	0	0	0	0	0	0	59	0	0	2	0	0	42	1	4	3	0	[1B]	1	5
35	123456837	163	5	15	37	17	1	0	2	0	0	0	0	0	0	0	0	59	0	0	2	0	0	42	0	4	4	0	[1B]	1	4
